date,token,slug,gecko_id,category,unlock_type,unlock_amount,rate_duration_days,circ_supply,max_supply,pct_of_circ,ticker,source,usd_value
2021-01-01,Rarible,rarible,rarible,insiders,linear,71870.0,730.4843981481481,25080293.766572803,25080293.766572803,0.28656,,defillama,
2021-01-01,Venus,venus,venus,farming,cliff,5664.980032286839,,16980568.148159333,30000000.0,0.033362,,defillama,
2021-01-01,Tezos,tezos,tezos,insiders,cliff,1590222.75,,1138594451.8771806,1183192173.1759143,0.139665,,defillama,
2021-01-01,Chainlink,chainlink,chainlink,insiders,cliff,1000000.0,,748009578.99,1000000000.0,0.133688,LINK,defillama,
2021-01-01,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,179017967.8176523,,0.347585,CRV,6mv_observed,387657.22
2021-01-01,Hedera,hedera,hedera-hashgraph,insiders,cliff,32719000.0,,47282507000.0,50000000000.0,0.069199,HBAR,defillama,
2021-01-01,Hedera,hedera,hedera-hashgraph,privateSale,cliff,547496000.0,,47282507000.0,50000000000.0,1.157925,HBAR,defillama,
2021-01-01,Hedera,hedera,hedera-hashgraph,noncirculating,cliff,396121000.0,,47282507000.0,50000000000.0,0.837775,HBAR,defillama,
2021-01-01,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215430995.5609809,,0.127087,UNI,6mv_observed,1299085.5
2021-01-01,Tron,tron,tron,staking,linear,35480000.0,5478.632986111111,109532966400.0,126771955200.0,0.032392,TRX,defillama,
2021-01-01,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44813886.8445304,,0.091662,FIL,6mv_observed,914600.93
2021-01-01,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44813886.8445304,,0.213877,FIL,6mv_observed,2134068.84
2021-01-01,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44813886.8445304,,0.101846,FIL,6mv_observed,1016223.25
2021-01-01,Hedera,hedera,hedera-hashgraph,farming,cliff,37077000.0,,47282507000.0,50000000000.0,0.078416,HBAR,defillama,
2021-01-01,Tezos,tezos,tezos,noncirculating,cliff,1590222.75,,1138594451.8771806,1183192173.1759143,0.139665,,defillama,
2021-01-02,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214730075.6324379,,0.127502,UNI,6mv_observed,1331660.12
2021-01-02,Venus,venus,venus,farming,cliff,7384.78575291649,,16980568.148159333,30000000.0,0.04349,,defillama,
2021-01-02,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44563844.8441297,,0.215077,FIL,6mv_observed,2092174.92
2021-01-02,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44563844.8441297,,0.092176,FIL,6mv_observed,896646.39
2021-01-02,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,177987821.1609502,,0.349596,CRV,6mv_observed,383136.83
2021-01-02,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44563844.8441297,,0.102418,FIL,6mv_observed,996273.77
2021-01-03,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44575624.57492839,,0.092152,FIL,6mv_observed,886335.06
2021-01-03,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,222126498.6019509,,0.123256,UNI,6mv_observed,1482479.79
2021-01-03,Bittensor,bittensor,bittensor,farming,linear,29640.0,128.95833333333334,11697129.95786208,20994032.42666208,0.253395,TAO,defillama,
2021-01-03,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,183369787.4094953,,0.339336,CRV,6mv_observed,419143.36
2021-01-03,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44575624.57492839,,0.21502,FIL,6mv_observed,2068115.14
2021-01-03,Venus,venus,venus,farming,cliff,8682.716399932944,,16980568.148159333,30000000.0,0.051133,,defillama,
2021-01-03,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44575624.57492839,,0.102391,FIL,6mv_observed,984816.73
2021-01-03,Rarible,rarible,rarible,farming,cliff,75000.0,,25080293.766572803,25080293.766572803,0.29904,,defillama,
2021-01-04,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,213860482.0766986,,0.12802,UNI,6mv_observed,1442530.44
2021-01-04,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44519995.57223646,,0.215289,FIL,6mv_observed,2010049.46
2021-01-04,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44519995.57223646,,0.092267,FIL,6mv_observed,861449.77
2021-01-04,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,180236600.8472219,,0.345234,CRV,6mv_observed,409914.29
2021-01-04,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44519995.57223646,,0.102519,FIL,6mv_observed,957166.41
2021-01-04,Venus,venus,venus,farming,cliff,23226.72338039104,,16980568.148159333,30000000.0,0.136784,,defillama,
2021-01-05,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44601348.01831,,0.092098,FIL,6mv_observed,888806.47
2021-01-05,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44601348.01831,,0.214896,FIL,6mv_observed,2073881.76
2021-01-05,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44601348.01831,,0.102332,FIL,6mv_observed,987562.74
2021-01-05,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215194318.9332523,,0.127227,UNI,6mv_observed,1733070.37
2021-01-05,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,180663599.5131519,,0.344418,CRV,6mv_observed,429722.23
2021-01-05,Balancer,balancer,balancer,Uncategorized,cliff,145000.0,,72373802.32600455,96150704.0,0.200349,BAL,defillama,
2021-01-05,Venus,venus,venus,farming,cliff,7226.630578878427,,16980568.148159333,30000000.0,0.042558,,defillama,
2021-01-06,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214437359.4275078,,0.127676,UNI,6mv_observed,1754051.51
2021-01-06,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,180132247.2983746,,0.345434,CRV,6mv_observed,455533.83
2021-01-06,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44696689.95365334,,0.102113,FIL,6mv_observed,1002539.67
2021-01-06,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44696689.95365334,,0.091902,FIL,6mv_observed,902285.71
2021-01-06,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44696689.95365334,,0.214438,FIL,6mv_observed,2105333.31
2021-01-06,Venus,venus,venus,farming,cliff,11497.770707315354,,16980568.148159333,30000000.0,0.067711,,defillama,
2021-01-07,Solana,solana,solana,insiders,linear,299700.0,730.0,648491006.4626477,722937833.914021,0.046215,SOL,defillama,
2021-01-07,Solana,solana,solana,insiders,cliff,31250000.0,,648491006.4626477,722937833.914021,4.818879,SOL,defillama,
2021-01-07,Solana,solana,solana,insiders,cliff,62187500.0,,648491006.4626477,722937833.914021,9.58957,SOL,defillama,
2021-01-07,Solana,solana,solana,ecosystem,cliff,164865000.0,,648491006.4626477,722937833.914021,25.422866,SOL,defillama,
2021-01-07,Solana,solana,solana,privateSale,cliff,10000000.0,,648491006.4626477,722937833.914021,1.542041,SOL,defillama,
2021-01-07,Venus,venus,venus,farming,cliff,5964.626020810672,,16980568.148159333,30000000.0,0.035126,,defillama,
2021-01-07,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,179863918.5980941,,0.34595,CRV,6mv_observed,447968.81
2021-01-07,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44488334.49802789,,0.102592,FIL,6mv_observed,1010557.36
2021-01-07,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44488334.49802789,,0.215442,FIL,6mv_observed,2122170.45
2021-01-07,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44488334.49802789,,0.092332,FIL,6mv_observed,909501.62
2021-01-07,Solana,solana,solana,privateSale,cliff,25000000.0,,648491006.4626477,722937833.914021,3.855104,SOL,defillama,
2021-01-07,Solana,solana,solana,privateSale,cliff,63500000.0,,648491006.4626477,722937833.914021,9.791963,SOL,defillama,
2021-01-07,Solana,solana,solana,privateSale,cliff,78500000.0,,648491006.4626477,722937833.914021,12.105025,SOL,defillama,
2021-01-07,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214567815.2408156,,0.127598,UNI,6mv_observed,1719376.05
2021-01-08,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44480954.7946733,,0.215478,FIL,6mv_observed,2076801.0
2021-01-08,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44480954.7946733,,0.102609,FIL,6mv_observed,988952.86
2021-01-08,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44480954.7946733,,0.092348,FIL,6mv_observed,890057.57
2021-01-08,Chainlink,chainlink,chainlink,insiders,cliff,500000.0,,748009578.99,1000000000.0,0.066844,LINK,defillama,
2021-01-08,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,181833205.6782256,,0.342203,CRV,6mv_observed,433867.37
2021-01-08,Venus,venus,venus,farming,cliff,5594.665980758115,,16980568.148159333,30000000.0,0.032947,,defillama,
2021-01-08,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215207634.0615978,,0.127219,UNI,6mv_observed,1616160.38
2021-01-09,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44654946.33724283,,0.214638,FIL,6mv_observed,2131325.31
2021-01-09,Venus,venus,venus,farming,cliff,9124.886923410138,,16980568.148159333,30000000.0,0.053737,,defillama,
2021-01-09,Chainlink,chainlink,chainlink,insiders,cliff,500000.0,,748009578.99,1000000000.0,0.066844,LINK,defillama,
2021-01-09,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44654946.33724283,,0.091988,FIL,6mv_observed,913425.13
2021-01-09,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44654946.33724283,,0.102209,FIL,6mv_observed,1014916.82
2021-01-09,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,185127918.8512626,,0.336113,CRV,6mv_observed,479518.73
2021-01-09,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,216678180.9631008,,0.126356,UNI,6mv_observed,1714661.58
2021-01-10,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44545596.75931278,,0.215165,FIL,6mv_observed,2260164.5
2021-01-10,Rarible,rarible,rarible,farming,cliff,75000.0,,25080293.766572803,25080293.766572803,0.29904,,defillama,
2021-01-10,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44545596.75931278,,0.10246,FIL,6mv_observed,1076268.81
2021-01-10,Venus,venus,venus,farming,cliff,31315.56500550129,,16980568.148159333,30000000.0,0.18442,,defillama,
2021-01-10,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,216597958.639579,,0.126402,UNI,6mv_observed,1647714.99
2021-01-10,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,184314204.6395201,,0.337597,CRV,6mv_observed,472715.33
2021-01-10,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44545596.75931278,,0.092214,FIL,6mv_observed,968641.93
2021-01-11,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44645847.55689755,,0.092007,FIL,6mv_observed,886073.27
2021-01-11,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44645847.55689755,,0.214682,FIL,6mv_observed,2067504.29
2021-01-11,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44645847.55689755,,0.10223,FIL,6mv_observed,984525.85
2021-01-11,WOOFi,woofi,woo-network,privateSale,linear,623100.0,1095.0,2699999999.9999585,2699999999.9999585,0.023078,,defillama,
2021-01-11,Venus,venus,venus,farming,cliff,6269.740712548753,,16980568.148159333,30000000.0,0.036923,,defillama,
2021-01-11,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214073168.1034449,,0.127893,UNI,6mv_observed,1433806.23
2021-01-11,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,183709508.6039446,,0.338708,CRV,6mv_observed,386896.62
2021-01-12,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,183302108.821672,,0.339461,CRV,6mv_observed,386862.71
2021-01-12,Venus,venus,venus,farming,cliff,5603.659408013014,,16980568.148159333,30000000.0,0.033,,defillama,
2021-01-12,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44587587.70723148,,0.102363,FIL,6mv_observed,964269.86
2021-01-12,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44587587.70723148,,0.214963,FIL,6mv_observed,2024966.71
2021-01-12,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44587587.70723148,,0.092127,FIL,6mv_observed,867842.87
2021-01-12,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215057920.5441079,,0.127308,UNI,6mv_observed,1522243.34
2021-01-12,Balancer,balancer,balancer,Uncategorized,cliff,145000.0,,72373802.32600455,96150704.0,0.200349,BAL,defillama,
2021-01-13,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44565290.27806562,,0.102414,FIL,6mv_observed,991305.44
2021-01-13,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44565290.27806562,,0.21507,FIL,6mv_observed,2081741.43
2021-01-13,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44565290.27806562,,0.092173,FIL,6mv_observed,892174.9
2021-01-13,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214384245.3702872,,0.127708,UNI,6mv_observed,1734278.0
2021-01-13,Venus,venus,venus,farming,cliff,7901.568723403158,,16980568.148159333,30000000.0,0.046533,,defillama,
2021-01-13,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,186044409.4810178,,0.334457,CRV,6mv_observed,428369.78
2021-01-14,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,213045511.1979931,,0.12851,UNI,6mv_observed,1869871.1
2021-01-14,Ethereum,ethereum,,insiders,cliff,1000.0,,127802970.1548277,127802970.1548277,0.000782,ETH,defillama,
2021-01-14,Venus,venus,venus,farming,cliff,25444.97655728789,,16980568.148159333,30000000.0,0.149848,,defillama,
2021-01-14,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,181070154.2967725,,0.343645,CRV,6mv_observed,488747.05
2021-01-14,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44533626.40870745,,0.092238,FIL,6mv_observed,887143.62
2021-01-14,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44533626.40870745,,0.215223,FIL,6mv_observed,2070001.78
