firm,scale,pass_,fail_daily,fail_total,timeout,med_days,p90_days,funded_surv_1y,funded_paid_mean,funded_paid_med
hyro_2step,0.5,0.466,0.0,0.08866666666666667,0.44533333333333336,382.3333333333333,550.8,0.82875,0.07957939004583113,0.07572704485708265
hyro_2step,0.75,0.5493333333333333,0.032,0.28733333333333333,0.13133333333333333,267.0625,448.10416666666674,0.30375,0.09312004392212116,0.08695838894053962
hyro_2step,1.0,0.4266666666666667,0.16266666666666665,0.3913333333333333,0.019333333333333334,177.1875,336.6333333333333,0.03625,0.0775909094780695,0.06966547811804001
hyro_2step,1.5,0.222,0.43466666666666665,0.3433333333333333,0.0,93.70833333333333,181.15000000000006,0.0,0.053433477374969486,0.034017303334494355
hyro_2step,2.0,0.12266666666666666,0.6206666666666667,0.25666666666666665,0.0,67.02083333333334,128.00416666666666,0.0,0.038945416620967135,0.0
hyro_2step,3.0,0.04933333333333333,0.844,0.10666666666666667,0.0,36.0,71.21666666666667,0.0,0.018153885010879608,0.0
hyro_2step_swing,0.5,0.466,0.0,0.08866666666666667,0.44533333333333336,382.3333333333333,550.8,0.82875,0.07957939004583113,0.07572704485708265
hyro_2step_swing,0.75,0.5666666666666667,0.0006666666666666666,0.29933333333333334,0.13333333333333333,271.08333333333337,452.6958333333334,0.31,0.09491785122851462,0.08858239715949706
hyro_2step_swing,1.0,0.456,0.08133333333333333,0.43933333333333335,0.023333333333333334,179.75,340.4291666666667,0.04,0.08162100744717987,0.07303664958364513
hyro_2step_swing,1.5,0.2813333333333333,0.23266666666666666,0.486,0.0,101.70833333333333,200.56250000000003,0.0,0.061157378165853045,0.04735512759673436
hyro_2step_swing,2.0,0.15733333333333333,0.452,0.39066666666666666,0.0,68.45833333333333,132.5625,0.0,0.047119825251249275,0.008930510524833159
hyro_2step_swing,3.0,0.082,0.712,0.206,0.0,40.583333333333336,76.31666666666666,0.0,0.026721808381204405,0.0
hyro_1step,0.5,0.49933333333333335,0.0,0.3486666666666667,0.152,212.625,350.8166666666667,0.1625,0.05519936546700828,0.049274078076997734
hyro_1step,0.75,0.43733333333333335,0.116,0.44466666666666665,0.002,120.60416666666666,232.08333333333331,0.00125,0.03995970735915991,0.035919629976280745
hyro_1step,1.0,0.35533333333333333,0.15866666666666668,0.486,0.0,75.79166666666667,146.60833333333332,0.0,0.03634305008890733,0.028380343660222053
hyro_1step,1.5,0.24,0.3873333333333333,0.37266666666666665,0.0,38.52083333333333,81.71249999999999,0.0,0.025748655291954723,0.0
hyro_1step,2.0,0.196,0.508,0.296,0.0,25.5625,61.699999999999996,0.0,0.018353129323175885,0.0
hyro_1step,3.0,0.10733333333333334,0.7106666666666667,0.182,0.0,15.541666666666666,35.708333333333336,0.0,0.00654122078711735,0.0
mubite_2step,0.5,0.548,0.0,0.07933333333333334,0.37266666666666665,327.9583333333333,522.6791666666666,0.9225,0.08118911484950422,0.07743012075585039
mubite_2step,0.75,0.6506666666666666,0.0006666666666666666,0.23333333333333334,0.11533333333333333,224.08333333333334,409.9166666666667,0.70375,0.11604986249193291,0.11179448484052501
mubite_2step,1.0,0.6,0.06933333333333333,0.312,0.018666666666666668,148.35416666666666,318.29583333333335,0.36625,0.12410307061496116,0.10916924402166155
mubite_2step,1.5,0.442,0.18333333333333332,0.374,0.0006666666666666666,70.58333333333333,148.0,0.0425,0.1089694762420183,0.06589797591689345
mubite_2step,2.0,0.342,0.372,0.286,0.0,43.708333333333336,93.33333333333334,0.0025,0.07384477347146153,0.014244246280199024
mubite_2step,3.0,0.25866666666666666,0.5913333333333334,0.15,0.0,26.0625,57.187500000000014,0.0,0.036214979220426206,0.0
mubite_2step_10,0.5,0.466,0.0,0.07733333333333334,0.45666666666666667,374.5,537.5666666666666,0.9225,0.08118911484950422,0.07743012075585039
mubite_2step_10,0.75,0.6013333333333334,0.0,0.23466666666666666,0.164,253.70833333333331,434.9458333333333,0.70375,0.11604986249193291,0.11179448484052501
mubite_2step_10,1.0,0.572,0.08066666666666666,0.30933333333333335,0.038,172.125,343.1000000000001,0.36625,0.12410307061496116,0.10916924402166155
mubite_2step_10,1.5,0.4106666666666667,0.214,0.374,0.0013333333333333333,82.39583333333334,170.47916666666669,0.0425,0.1089694762420183,0.06589797591689345
mubite_2step_10,2.0,0.308,0.4073333333333333,0.2846666666666667,0.0,49.604166666666664,109.38333333333335,0.0025,0.07384477347146153,0.014244246280199024
mubite_2step_10,3.0,0.23066666666666666,0.6226666666666667,0.14666666666666667,0.0,26.5625,60.08333333333333,0.0,0.036214979220426206,0.0
