firm,base,cppi,pass_,fail_daily,fail_total,timeout,med,p75,p90,surv_all,paid_all,surv_keep,paid_keep
Hyro 2-step trailing,0.75,0.0,0.762,0.0,0.237,0.001,371.3541666666667,517.75,686.4250000000001,0.4666666666666667,0.09086071330665736,0.5916666666666667,0.07979443666044655
Hyro 2-step trailing,0.75,0.5,0.858,0.0,0.0,0.142,422.5625,635.5416666666666,883.5291666666669,0.9883333333333333,0.08428488035024374,0.9933333333333333,0.07973185522409719
Hyro 2-step trailing,1.0,0.0,0.661,0.0,0.339,0.0,234.66666666666666,346.3333333333333,441.9166666666667,0.135,0.0914043654766558,0.215,0.07866116989491823
Hyro 2-step trailing,1.0,0.5,0.81,0.0,0.0,0.19,307.875,489.17708333333337,758.2291666666667,0.92,0.08926301205216707,0.94,0.08725394523087049
Hyro 2-step trailing,1.5,0.0,0.492,0.0,0.508,0.0,132.60416666666669,193.26041666666666,278.925,0.0016666666666666668,0.07257356842946201,0.0033333333333333335,0.05883813641957227
Hyro 2-step trailing,1.5,0.5,0.649,0.0,0.0,0.351,180.25,330.9583333333333,610.6666666666666,0.7316666666666667,0.08101854527437889,0.7783333333333333,0.07739711899799487
Hyro 2-step trailing,2.0,0.0,0.337,0.043,0.62,0.0,89.33333333333333,128.95833333333334,161.75,0.0,0.06245877773941224,0.0,0.045801000591772986
Hyro 2-step trailing,2.0,0.5,0.444,0.057,0.0,0.499,120.89583333333334,229.57291666666669,413.97916666666663,0.5683333333333334,0.07001796658997117,0.64,0.06228161788995248
Hyro 2-step static(swing?),0.75,0.0,0.894,0.0,0.087,0.019,407.72916666666663,605.6666666666667,780.1,0.9266666666666666,0.10432023757010925,0.9716666666666667,0.09419754680572237
Hyro 2-step static(swing?),0.75,0.5,0.913,0.0,0.0,0.087,421.2916666666667,633.1666666666666,844.3750000000001,1.0,0.10275881010441228,1.0,0.09346692807723997
Hyro 2-step static(swing?),1.0,0.0,0.821,0.0,0.178,0.001,276.75,409.3333333333333,567.7083333333334,0.7933333333333333,0.1396112953304854,0.905,0.13047432516807106
Hyro 2-step static(swing?),1.0,0.5,0.9,0.0,0.0,0.1,308.77083333333337,472.46875,718.0166666666667,1.0,0.13664547862398105,1.0,0.12896633979158226
Hyro 2-step static(swing?),1.5,0.0,0.726,0.0,0.274,0.0,173.16666666666666,276.2604166666667,371.41666666666663,0.5016666666666667,0.19053891965252612,0.735,0.1921131315809528
Hyro 2-step static(swing?),1.5,0.5,0.804,0.0,0.0,0.196,195.95833333333331,336.09375,510.0208333333333,1.0,0.19051954533619944,1.0,0.19328240536511412
Hyro 2-step static(swing?),2.0,0.0,0.572,0.069,0.359,0.0,127.47916666666667,198.07291666666666,299.4833333333333,0.20666666666666667,0.18459806678843335,0.37333333333333335,0.1847184038987469
Hyro 2-step static(swing?),2.0,0.5,0.625,0.085,0.0,0.29,143.83333333333334,251.875,404.05,0.84,0.19346846416243527,0.78,0.19350100593217262
Mubite 8%+5% static,0.75,0.0,0.823,0.0,0.171,0.006,325.1666666666667,475.6666666666667,637.6416666666667,0.7916666666666666,0.10197054722167144,0.91,0.09342741212657024
Mubite 8%+5% static,0.75,0.5,0.891,0.0,0.0,0.109,350.7083333333333,539.5833333333333,759.4583333333334,1.0,0.10003372204394924,1.0,0.09235359106833263
Mubite 8%+5% static,1.0,0.0,0.763,0.0,0.237,0.0,207.375,321.0625,425.4666666666668,0.6266666666666667,0.13331247483463546,0.8266666666666667,0.1274766246039896
Mubite 8%+5% static,1.0,0.5,0.852,0.0,0.0,0.148,230.64583333333331,380.9791666666667,598.0208333333331,1.0,0.13020418720797078,1.0,0.12579605891018705
