firm,policy,pass_,fail,fd,timeout,med,p25,p75,p90,funded_surv,funded_paid
Hyro swing 10+5 / DD10 static,flat  base1.0 c0.5 kmax1,0.9316666666666666,0.0,0.0,0.06833333333333333,237.83333333333331,149.86458333333334,367.14583333333337,552.3416666666668,1.0,0.19048165508686374
Hyro swing 10+5 / DD10 static,convex base1.0 c1.0 kmax2,0.91,0.005,0.005,0.085,260.39583333333337,149.80208333333334,416.2916666666667,640.6708333333333,0.994,0.18867735461491544
Hyro swing 10+5 / DD10 static,convex base1.0 c1.0 kmax3,0.9091666666666667,0.005,0.005,0.08583333333333333,258.2083333333333,149.97916666666669,416.8125,643.9583333333334,0.994,0.1902395129055955
Hyro swing 10+5 / DD10 static,convex base1.5 c1.0 kmax2,0.8391666666666666,0.02,0.02,0.14083333333333334,245.41666666666666,127.72916666666666,429.7708333333333,639.625,0.978,0.2576842361470664
Hyro swing 10+5 / DD10 static,convex base1.5 c0.75 kmax2,0.76,0.04,0.04,0.2,243.0625,123.0,420.8958333333333,649.4916666666666,0.97,0.2960159853812378
Hyro swing 10+5 / DD10 static,convex base2.0 c1.0 kmax2,0.6866666666666666,0.10166666666666667,0.10166666666666667,0.21166666666666667,245.33333333333334,130.65625,436.1979166666667,679.6416666666667,0.95,0.29832870429453173
Hyro swing 10+5 / DD10 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.75,0.09583333333333334,0.09583333333333334,0.15416666666666667,257.91666666666663,136.01041666666666,419.0,663.2458333333334,0.994,0.1893798404317872
Hyro swing 10+5 / DD10 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.5716666666666667,0.2025,0.2025,0.22583333333333333,242.97916666666669,117.52083333333333,419.9895833333333,657.2291666666667,0.974,0.25768455759930003
Hyro std 10+5 / DD10 trailing,flat  base1.0 c0.5 kmax1,0.855,0.0,0.0,0.145,249.95833333333331,151.35416666666666,380.4375,569.7083333333334,0.822,0.10010538097565398
Hyro std 10+5 / DD10 trailing,convex base1.0 c1.0 kmax2,0.8933333333333333,0.0,0.0,0.10666666666666667,313.2291666666667,188.73958333333334,490.8645833333333,736.8249999999999,0.904,0.08661349239798656
Hyro std 10+5 / DD10 trailing,convex base1.0 c1.0 kmax3,0.8933333333333333,0.0,0.0,0.10666666666666667,313.2291666666667,188.73958333333334,490.8645833333333,736.8249999999999,0.904,0.08661349239798656
Hyro std 10+5 / DD10 trailing,convex base1.5 c1.0 kmax2,0.8141666666666667,0.0,0.0,0.18583333333333332,305.6666666666667,169.20833333333334,497.7916666666667,736.1916666666666,0.75,0.08572224371496703
Hyro std 10+5 / DD10 trailing,convex base1.5 c0.75 kmax2,0.6908333333333333,0.010833333333333334,0.010833333333333334,0.29833333333333334,283.9166666666667,147.375,469.875,751.8250000000002,0.614,0.08424183272567437
Hyro std 10+5 / DD10 trailing,convex base2.0 c1.0 kmax2,0.6908333333333333,0.010833333333333334,0.010833333333333334,0.29833333333333334,283.9166666666667,147.375,469.875,751.8250000000002,0.614,0.08424183272567433
Hyro std 10+5 / DD10 trailing,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.7933333333333333,0.0008333333333333334,0.0008333333333333334,0.20583333333333334,318.27083333333337,186.23958333333331,511.32291666666663,747.7416666666667,0.904,0.08661349239798656
Hyro std 10+5 / DD10 trailing,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.6966666666666667,0.0033333333333333335,0.0033333333333333335,0.3,289.22916666666663,169.08333333333334,467.8020833333333,729.2708333333333,0.75,0.08572224371496703
Mubite 8+5 / DD8 static,flat  base1.0 c0.5 kmax1,0.895,0.0,0.0,0.105,173.75,103.72916666666667,272.1041666666667,412.675,1.0,0.17984667949587504
Mubite 8+5 / DD8 static,convex base1.0 c1.0 kmax2,0.9225,0.0,0.0,0.0775,184.04166666666666,95.6875,341.25,558.3833333333333,0.992,0.18168314304074046
Mubite 8+5 / DD8 static,convex base1.0 c1.0 kmax3,0.9225,0.0,0.0,0.0775,184.04166666666666,95.6875,341.25,558.3833333333333,0.994,0.18579959483667702
Mubite 8+5 / DD8 static,convex base1.5 c1.0 kmax2,0.8675,0.0025,0.0025,0.13,122.70833333333333,59.458333333333336,268.0833333333333,482.0833333333333,0.98,0.24057656837128205
Mubite 8+5 / DD8 static,convex base1.5 c0.75 kmax2,0.8008333333333333,0.006666666666666667,0.006666666666666667,0.1925,91.375,42.416666666666664,224.83333333333334,446.9166666666667,0.974,0.2614066077363309
Mubite 8+5 / DD8 static,convex base2.0 c1.0 kmax2,0.7908333333333334,0.006666666666666667,0.006666666666666667,0.2025,92.375,44.333333333333336,226.625,432.9583333333334,0.966,0.2699811676046954
Mubite 8+5 / DD8 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.865,0.004166666666666667,0.004166666666666667,0.13083333333333333,145.04166666666669,71.98958333333333,281.5729166666667,472.2208333333335,0.992,0.1834558900839553
Mubite 8+5 / DD8 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.7975,0.01,0.01,0.1925,100.20833333333333,46.25,241.29166666666666,457.33333333333326,0.976,0.24072524933817727
