firm,policy,pass_,fail,fd,timeout,med,p25,p75,p90,funded_surv,funded_paid
Hyro swing 10+5 / DD10 static,flat  base1.0 c0.5 kmax1,0.8675,0.0,0.0,0.1325,274.7916666666667,167.29166666666666,427.8333333333333,645.875,1.0,0.13727137669938383
Hyro swing 10+5 / DD10 static,convex base1.0 c1.0 kmax2,0.8466666666666667,0.0,0.0,0.15333333333333332,268.2708333333333,147.60416666666666,472.4583333333333,728.0625,1.0,0.13118817893831244
Hyro swing 10+5 / DD10 static,convex base1.0 c1.0 kmax3,0.8466666666666667,0.0,0.0,0.15333333333333332,268.2708333333333,148.72916666666669,472.4583333333333,730.0833333333333,1.0,0.1313920288576323
Hyro swing 10+5 / DD10 static,convex base1.5 c1.0 kmax2,0.7975,0.0008333333333333334,0.0008333333333333334,0.20166666666666666,201.79166666666666,111.08333333333333,403.4166666666667,673.3833333333333,1.0,0.18558074623621706
Hyro swing 10+5 / DD10 static,convex base1.5 c0.75 kmax2,0.7391666666666666,0.0008333333333333334,0.0008333333333333334,0.26,176.625,94.27083333333333,376.60416666666663,641.3916666666667,1.0,0.21939077957236697
Hyro swing 10+5 / DD10 static,convex base2.0 c1.0 kmax2,0.7125,0.02,0.02,0.2675,176.91666666666666,91.60416666666666,376.0625,624.7166666666667,0.978,0.22236458831726186
Hyro swing 10+5 / DD10 static,"convex ph1 1.0 / ph2 2.0, c1 kmax2.5",0.7733333333333333,0.008333333333333333,0.008333333333333333,0.21833333333333332,260.58333333333337,132.48958333333331,455.33333333333337,729.3125000000001,1.0,0.13148063073789967
Hyro swing 10+5 / DD10 static,"convex ph1 1.5 / ph2 2.5, c1 kmax2.5",0.675,0.030833333333333334,0.030833333333333334,0.2941666666666667,185.89583333333331,103.90625,374.78125,599.1250000000001,0.992,0.18487464832303982
Hyro std 10+5 / DD10 trailing,flat  base1.0 c0.5 kmax1,0.7808333333333334,0.0,0.0,0.21916666666666668,258.0416666666667,164.0,412.5416666666667,652.1833333333333,0.92,0.09268941643852625
Hyro std 10+5 / DD10 trailing,convex base1.0 c1.0 kmax2,0.785,0.0,0.0,0.215,343.75,195.65625,560.3229166666666,781.1916666666666,0.956,0.0741466076984935
Hyro std 10+5 / DD10 trailing,convex base1.0 c1.0 kmax3,0.785,0.0,0.0,0.215,343.75,195.65625,560.3229166666666,781.1916666666666,0.956,0.0741466076984935
Hyro std 10+5 / DD10 trailing,convex base1.5 c1.0 kmax2,0.7691666666666667,0.0,0.0,0.23083333333333333,262.2083333333333,141.45833333333331,454.22916666666663,711.7833333333335,0.83,0.07908693158258905
