label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,stops,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
P0 VT0.6 lev3 g<=2 (no stops),1.542020038579828,0.23593218202624988,0.007533333713275458,-0.11113861645011591,2.122864108257843,-0.037702047378860404,-0.022297461492332978,95.4691940058321,0.02911810417177877,0.006507108434859158,-0.0010210855744614558,80.12265258215963,0.6939021979418152,0,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816,0.16791803754165602,0.049245291763735155,0.11688049560120795,0.5805596509569033,0.24114788014711763
P1 + stopS50,1.2348022625532014,0.18127176369142273,0.007486385298383077,-0.1315973144439776,1.3774731124252462,-0.041720802853583816,-0.022652226328711084,96.90960687603813,0.02918845517129429,0.006541962375170939,-0.008172866900173105,79.07394366197182,0.6945993765715385,510,1.0247491001090825,0.07296069517974083,0.7089227492517691,2.6807599239638313,1.4960063423022263,0.12133510771400657,0.0014392296598197962,0.1022948877364045,0.5061526332298039,0.16629545832644332
P2 + stopS60,1.3681434801504035,0.20671855882380963,0.007581073555078086,-0.11694351860651231,1.767678615449316,-0.0439017209900312,-0.022793973599958165,96.24072433169198,0.029094343898500897,0.006511616104754229,-0.0026701441623549573,79.24589201877934,0.689104786795023,361,1.2253570563112317,0.298785063457452,0.7551272034733838,2.8563947518606034,1.476512435690443,0.14612570205779063,0.02963186567667453,0.11267478775949469,0.5717152610723844,0.16368779974765357
P3 + stopS100,1.1728529937188983,0.17229820337381296,0.007549867928685848,-0.12671898210328858,1.3596873897999386,-0.04324756444995059,-0.0224556647103543,94.65389750684163,0.028758837151903912,0.006425593332279925,-0.0009976100101946339,76.99471830985915,0.6814628612668702,132,0.9851064091357065,0.5660536948589826,0.2624252307724112,2.440454962347425,1.477946333629542,0.11786462908026119,0.06418944289846396,0.028891409754095543,0.4819121819745431,0.15689542285605307
P4 + beta hedge,0.806630898870788,0.114806766946004,0.007762407907424945,-0.283013513622579,0.40565824956842766,-0.08091798479520507,-0.024733257193940834,89.53816172550563,0.02730913932627923,0.00605160495996643,-0.004787857469465263,74.8656103286385,0.6450173669234429,0,0.991986963776866,0.4998671818031031,0.9986144709019031,0.4647406944939397,1.2789112372218419,0.13518065806602286,0.05640864905055709,0.15007127226814565,0.06799285126090471,0.12688841035429554
P5 + beta hedge + stopS50,1.3550093291939098,0.20282763259682524,0.007524279440057248,-0.12986842249092345,1.561793291584855,-0.040995183196987806,-0.023627241777563972,93.92137753375262,0.028306881670016448,0.006307975542418,-0.01122551779357868,79.03110328638498,0.6788039529152525,527,1.4688877848989892,0.3482455752235289,0.9653528363780448,2.03822439433639,2.0397058612986636,0.1821104100726776,0.03584117190025715,0.1528936851762539,0.3666780390879669,0.22615804755053492
P6 maker50 (no stops),1.4708688893455342,0.2238390173079008,0.007549835474189676,-0.11336800335821218,1.974446128562254,-0.04404990527073949,-0.021928411846748354,96.18555740409057,0.03606958402653386,0.010940045070042807,-8.714755838504168e-05,79.74119718309859,0.7000258713205295,0,1.284933807446085,0.36658111100712104,0.7902291508665893,2.7381457919948557,2.053520307903144,0.16072354310695958,0.03792392360796293,0.11651644236766168,0.5550354488622014,0.22608349474351574
P7 taker only (no stops),1.170447633121939,0.1738924868147902,0.007637525781411007,-0.11409374215994872,1.5241193951451768,-0.06638220472371226,-0.02248783946139807,95.57820109802996,0.0525680106039164,0.021743364701215535,0.0011607470735672694,77.16021126760563,0.6935384299511075,0,0.9422862629741114,0.07929663988727376,0.525602322023411,2.3431176258295467,1.788497757145698,0.11351591858029364,0.0023292758177662076,0.07170692418006164,0.4817629511085655,0.19147411728852703
P8 VT0.6 lev2.5,1.4956487188036347,0.22441421105938497,0.007430194586904886,-0.1038835385452187,2.160248024295527,-0.05608459300026669,-0.021708732798614835,97.25358104538098,0.029662342218841262,0.0066586061120559965,-0.0003815686675408521,81.37734741784037,0.6982902799890209,0,1.3622510025692276,0.43796253086307996,0.9595652819219054,2.6772168950752064,1.8515090914872698,0.16605902841724807,0.04676000195600993,0.14110227990005297,0.5395126598182223,0.19865929905555357
P9 band0.2 smooth0.3,1.4549505113416668,0.22759844040145905,0.007764575777941832,-0.11284897120554183,2.016841057151268,-0.06182097485981819,-0.023425504528287844,127.71980983865907,0.03895454200079108,0.008672864024912576,0.003647560974501679,76.38791079812206,0.7010989342615537,0,1.588976846001939,0.1125049603931989,1.0409430978975138,2.3084707375325495,2.1122956399273947,0.20188284591635086,0.006341336943596287,0.1578646872973517,0.4885066560755551,0.24799953636952266
R1 fee+slip x1.5,1.3963592288098858,0.211790248599814,0.007586368269956595,-0.1104320668037222,1.9178328615220899,-0.058949078507068875,-0.02165626013311082,95.79813787780951,0.037121778427651145,0.009815203939862531,0.0010500301805235178,79.48474178403755,0.6965462613525975,0,1.3252551441988245,0.3675979807700465,0.7213784372811992,2.5686787913244187,1.8516410137219397,0.16657122554333648,0.03801493702679548,0.10432130019209107,0.5274361119876296,0.19898053282776362
R2 exclude majors hedge (BTC only),0.9374806734950224,0.14022910534025645,0.00796959762223447,-0.2919316739770592,0.4803490589065953,-0.08956216413614859,-0.024053916593135938,102.23227762649063,0.03118084467607966,0.00700301959474076,-0.003426416122212711,80.34096244131456,0.7348357574260829,0,1.3942910794524548,0.5423768890303312,0.818422406275432,0.30565861972617303,2.510852287136862,0.17707374074732196,0.060129941702832035,0.11047263068853952,0.042674048700632294,0.2761742849063247
