label,sharpe,cagr,mdd
DON n72 trail3,-0.8482090083215399,-0.06711077898948681,-0.3910169017725438
DON n168 trail3,-0.2914539074744077,-0.018867750380949455,-0.20222190036583965
DON n24 trail2,-2.348253045982503,-0.2502832864298127,-0.8100686839040442
MAX 24/168,-0.9577245125751667,-0.04515046970814807,-0.2815328115460335
MAX 48/336,-0.7664312907864749,-0.02285373371036148,-0.1472520015934793
RSI14 30/70 TP2 SL1.5,-2.034292349734517,-0.47839881350617064,-0.9737135408928488
VBO 2sig hold24,-0.8906112910295398,-0.28108367788524447,-0.9027418661746897
ORB 4h,-1.2238574366846242,-0.26671015395951303,-0.8373312857764433
SESS long US / short Asia,-1.6758784795491928,-0.27434437784193433,-0.8411322110355538
SESS short US / long Asia,-0.8628130349142823,-0.14748450357439336,-0.6421820094011248
