,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
STORJUSDT,-431.6804143026017,22.019788799232273,16.6261306281602,24815.120340537604,8424.0,-330.09368437037796,-101.58672993222442,-426.2867561315296,18926764.921875
SUSHIUSDT,-380.28877585616465,0.44675140974516964,21.00586931191118,31352.043749121196,9888.0,-189.43908022626027,-190.8496956299025,-400.84789375833066,34095989.53125
C98USDT,-369.95301404573036,-4.936825737876348,15.154033072997187,22617.959810443557,5076.0,-200.3986844600619,-169.55432958566962,-390.0438728566039,13712618.28125
MASKUSDT,-357.6575164202807,-3.765980888092016,14.704349814353963,21946.79076769251,8100.0,-145.6261798123269,-212.031336607955,-376.1278471227267,31488054.375
FHEUSDT,-347.1993028165772,1.123240258249493,1.8012052305215556,2688.3660157038153,624.0,-166.49804022176346,-180.7012625948139,-347.8772677888492,4442333.83203125
CHRUSDT,-320.4600715705668,-0.8545906926175153,17.433259721254238,26019.790628737668,7152.0,-73.5509917481206,-246.90907982244522,-338.74792198443856,12844246.4375
RSRUSDT,-320.8722048463196,3.893960143391206,19.26594736673517,28755.145323485307,10044.0,-119.60336003599868,-201.26884481032224,-336.2441920696636,18104531.625
GTCUSDT,-310.9613926533733,-2.957194884297455,15.548951674421568,23207.390558838164,5436.0,-168.2584320260661,-142.70296062730736,-329.46753921209233,10982205.1171875
ZILUSDT,-306.57443752243915,-0.7414788907126587,14.607827683572657,21802.72788592935,4104.0,-198.05234495012155,-108.52209257231709,-321.9237440967245,16624852.90625
DODOUSDT,-291.994883614192,-4.35940931905847,7.549763621413437,11268.303912557365,3948.0,-145.49407113003633,-146.50081248415484,-303.9040565546639,50376122.9375
OGNUSDT,-265.0276246001751,10.413691096144937,15.92169821400255,23763.728677615756,7404.0,-83.52951002160482,-181.49811457857047,-270.53563171803273,11768000.5625
HBARUSDT,-246.59351730678972,0.7795892768375235,24.10225579246317,35973.51610815394,11376.0,-152.55459583350049,-94.03892147328891,-269.91618382241535,34261424.9375
BELUSDT,-248.41013207255716,5.922872218736259,17.443993319708056,26035.810924937385,6276.0,-98.45271014528288,-149.95742192727454,-259.93125317352894,14503625.578125
LITUSDT,-227.529612881792,0.9601405186688546,20.9805675097206,31314.279865254633,8436.0,-123.70497774476793,-103.82463513702345,-247.55003987284374,22979727.3828125
AAVEUSDT,-220.4047304684478,-0.5634445477314466,26.058892574454678,38893.86951411148,15396.0,-180.46373933385811,-39.94099113458846,-247.02706759063395,108585052.625
ICXUSDT,-238.10552258207147,4.317114307834464,12.889239980715843,19237.6716130087,3816.0,-233.59612827051782,-4.509394311553275,-246.67764825495286,9199946.265625
