label,sharpe,cagr,mdd,dvol,turnover,lev_mean,lev_p5,lev_p95,y2022,y2023,y2024,y2025,y2026
D recursive (legacy),1.542020038579828,0.23593218202624988,-0.11113861645011591,0.007533333713275458,95.4691940058321,1.0520968443288528,0.05,3.0,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816
D direct,1.2026042322109134,0.1577299166775301,-0.16657224650003088,0.006727214817912959,106.59315695972242,0.9739830390520513,0.27901890603289137,2.6748202100116716,0.4924762381472399,0.4096697358480788,1.303955220950847,1.764043001936844,2.6010339713246546
D direct vt_smooth .5,1.2390746782802218,0.16396216332687663,-0.1612349990752444,0.006759116868432269,106.3003494345881,0.9640250358194465,0.2796756131658118,2.6056813383602577,0.6276941760344954,0.4180061896207523,1.5339255543214676,1.654928167956116,2.477614776212025
D direct win 20d,1.1914666447895834,0.161958194061381,-0.20234330323173322,0.00697807288936785,110.03032894120858,1.0398042542744093,0.2793393880697106,3.0,0.47146713775133336,0.6597273306048888,1.4584876245459475,1.4223094733412687,2.5887197083370577
D direct win 60d,1.1509064485084222,0.14947789488113106,-0.16368583312039486,0.006701747065260443,102.17278904924736,0.8464572789543652,0.2929587631619798,1.9784047412539716,0.5563306577924916,0.2920981807867311,1.493897503733046,1.572632135783132,2.312983985320517
D direct smooth0.4,1.247969763233918,0.16522472000082433,-0.16942017382626096,0.006755930642250462,124.57754098466614,0.9551887043912801,0.2613406480306664,2.6760581466169397,0.7696964245681439,0.2873235088826919,1.424165876601629,1.7918662292619327,2.4647879083549893
D direct smooth0.6,1.2637649147769516,0.16645891848880745,-0.15266443718687117,0.006710679983066901,85.90326212634835,0.9680261562246958,0.2856380526919025,2.7237641957148533,0.726944824715698,0.6087626857954295,1.4104413547968937,1.5910212608736005,2.484718322273148
"daily-held on 8h, smooth .794",1.0609193368655734,0.13417601594592887,-0.1754252885919223,0.006596617043826285,104.93396334596665,1.0096274557035945,0.2808627762197246,3.0,0.34759498613866113,0.1559895236474636,1.2276288766236307,1.7412032836237306,2.368409384426195
"daily-held on 8h, smooth .5",1.0415740524611368,0.1338585932822587,-0.23449455612627101,0.006720206722644104,177.71148507049787,1.0049810612433807,0.27054013222034595,3.0,0.14304772814290911,-0.052795037965100135,1.1640413968305034,2.208039408876952,2.257419233415847
ML8 alone,1.5839959083196362,0.22301117312173968,-0.2129464466838772,0.006937295685346631,535.4091399084434,0.8495478752451542,0.22207426541586994,2.114581316583694,2.7995828862177192,2.387131515542942,0.07651816127809107,1.2912996056998907,0.690601565757751
ML8 alone age180+IV,2.025474879817642,0.2798546879532873,-0.14470777930550982,0.00657453245233309,577.9328193668283,1.232124613079211,0.2947205611929367,2.8601203593442075,4.369281804981007,3.2490220197724136,0.8634708389292926,0.9078002787527948,0.17593286472072128
REF smooth0.4 w8=1.5,1.585562349767651,0.22152784781071655,-0.18649917894858548,0.00688531989729435,291.88439824166744,1.023032473525779,0.3016691870364545,2.739321188339245,1.638919739907738,0.5826945327355734,1.4181695202128901,2.5480431993821298,1.8700914675531974
