family,label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost
base,"R5 baseline (band .3, smooth .5, w8 2)",1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
turnover,band 0.4 smooth 0.5,1.9442253354162946,1.8465102502351158,2.1397083739621903,0.27137287426696877,-0.12092028788897502,-0.030422034750674065,297.86828579601394,0.11109483255916318
turnover,band 0.4 smooth 0.6,1.89109264275593,1.7074049328423269,2.2408353135668215,0.26191863717329267,-0.1181197007185113,-0.03420892678605458,245.99495317610317,0.09189877741299857
turnover,band 0.4 smooth 0.7,1.7754020084898,1.5726402182091899,2.157730222249686,0.24331208444643315,-0.14414944022472886,-0.0321295715289861,191.2280315490347,0.07157231032109351
turnover,band 0.5 smooth 0.5,1.972344268061825,1.8901122455623807,2.1387307636722506,0.27482957556652376,-0.14181404994757985,-0.03272198813742222,279.59684402209007,0.10437586550655806
turnover,band 0.5 smooth 0.6,1.8601754013099072,1.6935101663472127,2.1808185489741256,0.25619081500753094,-0.11971138969001882,-0.03859736351234988,229.17487627803834,0.08570636750464575
turnover,band 0.5 smooth 0.7,1.708745785895804,1.4375898564341256,2.2205831389212682,0.23280576894451688,-0.12424378366869782,-0.042718262341095325,176.95324887298412,0.06632251882517988
turnover,band .3 smooth .6,1.7830871421523962,1.5440867888272778,2.2319562280749192,0.24654586322989624,-0.12667411824876762,-0.03191068755516602,262.16715545343567,0.09780760462558075
ml8uni,ML8 top-200,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
ml8uni,ML8 min_turn 5e6,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
ml8uni,ML8 min_turn 5e6 top-200,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
ml8uni,ML8 q .25,1.8813582542364078,1.7512449637990184,2.1364112512764595,0.263272729199576,-0.1169196360536483,-0.03772913265680833,321.9272683722834,0.11984499584166006
ml8uni,ML8 q .20,1.9913668591534368,1.8829883422019245,2.2080306992437047,0.28088945317962155,-0.12922147535896455,-0.033388765251173735,323.96237124117096,0.12050827578496497
ml8uni,ML8 age 120d,1.8544202317787273,1.664677473542298,2.21847985849325,0.25975140069673897,-0.12079561029669916,-0.03460121943457117,311.5115225457642,0.11614771910490337
weights,"weights (1, 1, 1, 1, 2.5)",1.8913118336717076,1.7802895069834375,2.112339658664587,0.2636272245039055,-0.107898601152571,-0.03630337073373602,345.7503370893281,0.12868675328463397
weights,"weights (1, 1, 1, 1, 3)",2.0653804549512658,2.0626064028836266,2.097683905219903,0.29112936305870507,-0.10914630459364705,-0.03776719830894548,371.7755665539846,0.13824093308264448
weights,"weights (0.5, 1, 1, 1, 2)",1.9173597893228895,1.6513822740454214,2.4082721056059917,0.2679022483800293,-0.1162187691079627,-0.03488625388138489,351.933677168955,0.1309612852077206
weights,"weights (1, 0.5, 1, 1, 2)",1.6971747448709547,1.7532579267682216,1.623745291603527,0.2369247724741479,-0.12245138319456339,-0.05635132681177957,305.76489505188283,0.1139342813275113
weights,"weights (1, 1, 0.5, 0.5, 2)",1.8004447562629,1.5428381468052694,2.280842633275156,0.24802928240223587,-0.15243706767081844,-0.03725601750063168,350.2833977289427,0.13033701608432335
weights,"weights (1, 1, 1, 1, 1.5)",1.7041109238727696,1.4302609518199607,2.214259409206522,0.23369695132101875,-0.13411842702083943,-0.03159357591040579,281.7584101291702,0.10509974218758342
weights,"weights (1.5, 1, 1, 1, 2)",1.673297219729836,1.5637774463633456,1.89434202163793,0.23035401647599674,-0.14123247321666932,-0.035379099383457624,285.50746009949734,0.10646215742333853
weights,"weights (1, 1.5, 1, 1, 2)",1.831462703683544,1.4345814259046088,2.5497095946593715,0.25158676332572427,-0.12932717746382827,-0.030493089554399222,312.801787319396,0.11654904944925824
extra,+ mom720 weekly (w1),1.8243069158788205,1.6235767700031012,2.188017891032619,0.2523746458420322,-0.133868505905388,-0.029331261223665805,282.301822977105,0.10535636396649378
extra,+ core168 (w1),1.8198315071373485,1.4449350026779983,2.5030056599715653,0.24908083441782725,-0.14175529603336867,-0.034692612017585,299.541767885824,0.11163361029781496
extra,+ core504 (w1),1.7709306237286844,1.3473968973456454,2.519422078192949,0.2422920211882824,-0.16412117689307404,-0.034254664979822325,293.9849514937802,0.10971362427238901
extra,ML3+ML7 blended into one sleeve (w2),1.8464270895611896,1.6189516017087389,2.2810392398133845,0.2569958125952727,-0.12306313730486251,-0.03752076420241668,316.1858531647791,0.1177868106067633
extra,+ mom720 + core168,1.8138807565680317,1.4838648430399533,2.413728417207821,0.24958054854242118,-0.14735624138132541,-0.0315700300288384,259.53009126244945,0.09687920945014092
caps,caps 3%/2%,1.8823373816130127,1.7122000954719367,2.210776782953491,0.264480443258996,-0.11004709299663806,-0.03595939589003938,332.2491933633524,0.12387593273181001
caps,caps 1.5%/1%,1.8464873842286873,1.6684601375276558,2.1691514545248753,0.2461450283132398,-0.11404417657780785,-0.038919612214586397,275.71532716748305,0.10260468815739725
caps,major cap 20%,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
vt,VT win 60d,1.8916951790738599,1.7957883469537654,2.0956863155206293,0.26341122704528885,-0.11587488935005785,-0.03294642670578729,308.0612308237928,0.11481410816428289
vt,VT win 45d,1.8365948201556292,1.7394514435337463,2.0382046344840634,0.2547139451395466,-0.11662826847683883,-0.033948792181186516,311.1060257517758,0.11593906954654917
vt,VT win 60d + smooth .5,1.8783409387862695,1.7136534957517553,2.212492272909063,0.2622250791547458,-0.12168339262713324,-0.03247152654406604,302.3620770042611,0.11277619557084292
beta,beta cap ±0.10,1.8346494692341568,1.622693448701649,2.2390158751253377,0.25475389689976446,-0.11585612861414762,-0.034284611537177656,311.7759102655692,0.11605447370832403
beta,beta cap ±0.20,1.862597101225874,1.659956788050515,2.2467445818778105,0.25941319509419514,-0.11576796221744923,-0.03393630642120604,316.2884745920513,0.11780893766517414
listing,listing 40 names w .04,1.9004729841304486,1.7140232895492378,2.2543107539821823,0.26411158861783846,-0.1143619073485973,-0.03429988289048269,327.8083719301502,0.1221042624983682
listing,listing 5-120d,1.8098605886869634,1.7348872326121685,1.9688255163134458,0.2528236804283326,-0.13501028091710077,-0.0372785924544653,305.26745247174136,0.11376869602506492
listing,listing pump 20%,1.924010925475909,1.742847722984851,2.2686197236206174,0.2686194960450621,-0.11328232141589145,-0.034288760358028636,318.39264628339924,0.11861158677601194
core,core q .25,1.8556306738599073,1.7528883464240055,2.0565190077704187,0.2577788616719825,-0.11903943837329678,-0.03419545698232629,314.8291303718958,0.11732729744831204
core,core q .15,1.7328143327302585,1.4923308834275506,2.183209638298495,0.23882587331080374,-0.14066183082175965,-0.033841603404510034,316.3932613683137,0.11786310765893027
core,core 504h,1.768595394927079,1.6538070438359,1.9799101390979743,0.244250743844858,-0.12445516415235991,-0.03288675381244888,315.1335315859777,0.11745407137303406
