label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost,npos
K0 baseline R5,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437,137.06122848200312
K1 ML8 q.20,1.9913668591534368,1.8829883422019245,2.2080306992437047,0.28088945317962155,-0.12922147535896455,-0.033388765251173735,323.96237124117096,0.12050827578496497,133.77523474178403
K2 band .4,1.9442253354162946,1.8465102502351158,2.1397083739621903,0.27137287426696877,-0.12092028788897502,-0.030422034750674065,297.86828579601394,0.11109483255916318,138.40942879499218
K3 q.20 + band .4,1.9839984740870549,1.8905356062400154,2.173650467800943,0.2799560750108625,-0.12697582259279816,-0.03193709202588979,303.7523708121636,0.11313436715818934,134.05927230046947
K4 q.20 + band .4 + VT60,1.9676100189927548,1.8803090985990065,2.1542691670326715,0.27557732256283507,-0.11912556175533395,-0.029763160276808143,295.5230919009532,0.11013204418400906,133.70618153364632
K5 q.20 + band .5,2.0247354464384064,2.0137020055142414,2.067899604469747,0.2882042519899488,-0.12530114518663138,-0.03130879127071917,287.5600595936875,0.10717768651941659,135.6189358372457
"K6 q.20 + band .4 + listing tuned (40n, .04, pump20)",2.021818093218493,1.9644892103203972,2.1461885706260158,0.2838217051419787,-0.12213670661237597,-0.030204834202953945,316.31120546224327,0.11774238601464834,135.19170579029733
"K7 q.20 + band .4, NO listing (R4)",2.03974058266508,1.8932249264701841,2.3204781911837538,0.2884892364253382,-0.11235269715312934,-0.04230018361316068,366.179912489623,0.13600529461444574,131.7118544600939
K8 q.20 + band .4 + beta 0,1.9310314693546113,1.8009501997405428,2.1925873833595704,0.27315820607571273,-0.12789326757673902,-0.031949674903603675,281.1844740179646,0.10448530554021099,131.70892018779344
K9 q.20 + band .4 + w8 2.5,2.159915615465841,2.187657595924716,2.136613461213756,0.30578727462406463,-0.12120021338321785,-0.02989892104138503,329.14534565934173,0.12242896319300303,135.56435837245695
"K10 q.20 + band .4 + w8 2.5, NO listing",2.013322165767087,1.9445563416039315,2.1599387680868807,0.28274201650702957,-0.10954894807532001,-0.0356201716694301,388.5971971692521,0.14415248063949404,131.57276995305165
"K11 q.20 + band .4 + VT60 + beta 0, NO listing",2.1753121440340792,2.1283851763688313,2.2856791279033786,0.30683029196903244,-0.10754010418936566,-0.04512799966593484,337.91572465271275,0.1252439856403801,130.72261345852894
"K12 NO listing + beta 0 (q.3, band .3)",1.9685777112735328,1.7395609442677187,2.3897564341500077,0.2748329373289351,-0.10617018114384236,-0.038084585549985395,358.78759964986835,0.13302536928761158,133.56611893583724
"K13 q.20 + band .4 + beta 0, NO listing",2.2065863447648257,2.19994447213772,2.2444242910706405,0.31638804790853503,-0.10318335738957163,-0.046332676607810264,339.79277668891245,0.12586079255562696,131.04714397496087
"K14 q.20 + band .5 + beta 0, NO listing",2.2534060593380683,2.1903313194627083,2.3913043083845142,0.3211381542885885,-0.1067141584966248,-0.04117768795522114,321.4313777800534,0.1191295028917872,131.75704225352112
D0 daily baseline,1.2026042322109134,0.7260334962582832,2.0677505044263382,0.1577299166775301,-0.16657224650003088,-0.03127685320713225,106.59315695972242,0.040047273006491975,124.52230046948357
D1 daily NO listing,1.3965838582195391,0.7061408780696775,2.5567254408606876,0.18650262560351938,-0.14007760852959372,-0.048868236088789985,142.0390946925894,0.053216965093601,129.45892018779344
D2 daily NO listing + beta 0,1.4907100852347566,0.9163512490741392,2.457597964434027,0.20015254857949683,-0.1225595360119075,-0.046679471049804966,131.20993535578268,0.04904699422743192,127.95070422535211
D3 daily NO listing + beta 0 + band .4,1.3664696189988097,0.7741744783614064,2.37054839982941,0.18207876793700595,-0.11987341005642971,-0.048805631109815506,125.24978197040471,0.046860277725987144,127.31866197183099
D4 daily + beta 0,1.3705748787329242,1.0310746625189036,1.992680510007742,0.18290209918585165,-0.15112129320785128,-0.0331156415102013,98.42325181591764,0.03690768745769258,123.47007042253522
