label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost,npos
N1 R5 with noage ML,1.9175494445973917,1.7858277257495483,2.1699290873137826,0.26744139035731607,-0.12488781821245176,-0.03654437386740017,329.4928357144709,0.12281507368384981,141.14260563380282
N2 N1 + ml8 q.2 + band .4,1.9570087507281437,1.8881062981594485,2.096027596686983,0.2746628665505,-0.132677909881586,-0.03808305047764515,316.6024035797356,0.11800026184724205,137.77484350547732
N3 N2 + beta0,1.8893336557673641,1.7899175153637956,2.0886297011014148,0.2687833514821867,-0.12255982637174445,-0.04195365750571933,296.60872541056995,0.11024439296623578,135.60367762128325
N4 N2 band .5,2.0276470479315307,1.9453343176177433,2.1905687054022436,0.2845920187331932,-0.12661000546058743,-0.03918025052707952,297.2373345934687,0.11087194540119041,138.76858372456965
N5 N3 band .5,1.9237005785914423,1.8995321923839315,1.983416037861343,0.27212914857518866,-0.11412694927816136,-0.043315347412660965,277.2668519208427,0.10315045271504239,136.86991392801252
N6 N2 NO listing,2.102831444425592,2.0638999294504643,2.1904295995257828,0.3097429618916463,-0.13759827483786702,-0.04821321180610516,375.1914228488386,0.13941246584772424,133.52347417840375
N7 N3 NO listing (K13-noage),2.2625058681662207,2.3899416906209185,2.055902186807788,0.3316678002845477,-0.12571425691818705,-0.049236719830160314,351.07349418565224,0.13009615241587782,132.6885758998435
N8 N5 NO listing (K14-noage),2.151653667128581,2.2035725583877843,2.0791349581812377,0.31071633423160816,-0.13718666617226527,-0.05163739562867509,326.06511420203026,0.12096686232820614,132.22143974960878
"N9 core+ml3n+ml8 q.2 w2 + beta0, band .4 (R3b-noage)",2.3358848252423092,2.376011399166799,2.276206921021279,0.34545327069960563,-0.1525193530083031,-0.0497809021376866,393.69108747999644,0.14554591517980378,128.98043818466354
"N10 listing+core+ml3n+ml8 q.2 w2 + beta0, band .4",2.076079204849978,1.9591783397375993,2.3017335509934025,0.2991397679112988,-0.12719863201945736,-0.0405809334214422,325.5346944439334,0.12073482930085178,132.81768388106417
N11 N3 w8 2.5,2.086804517097179,2.066323019751695,2.1415423474863555,0.30042414005144114,-0.11383636983939227,-0.04117413700775996,317.72726612770373,0.11791987117333891,136.83802816901408
N2 cost x2,1.0072809594394,0.7196941877086858,1.542018228533634,0.12815913186081573,-0.1556341330855049,-0.03678635702278232,316.2308731311059,0.23570275125934706,131.17996870109548
N3 cost x2,0.9575871309342054,0.7608682509708179,1.3343700332388986,0.12350600314667703,-0.1614456796005056,-0.041898778186266195,296.19078166821055,0.22014598861824258,128.58841940532082
N5 cost x2,1.0996688965078674,0.9504407601844349,1.3886219554535357,0.14334088119943433,-0.15980972625004874,-0.04432944222109747,276.71612638815594,0.20592208109069998,130.91216744913928
N7 cost x2,1.2326250289474676,1.1735217762856058,1.3566464473114819,0.16493345792018688,-0.20579277148752362,-0.049472891285497034,350.92824386557686,0.2601021682834646,126.66784037558685
N9 cost x2,1.2265443691718254,1.0890123632112219,1.4863840910257926,0.16372754169975523,-0.23349005026461978,-0.050116071704711995,392.70399841391685,0.29037803195233647,122.94561815336463
N10 cost x2,1.146562155666458,0.8907386161179256,1.627533721363642,0.15094367208828574,-0.15909408869469366,-0.040875277374130214,325.422349212814,0.24139642362168479,125.84507042253522
