label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost
F,2.177713602648187,2.205777776007075,2.158203968560075,0.27524255031045164,-0.08094742527337417,-0.03791357551934604,269.91050193879835,0.1007451910309788
"F + A1 (held daily, w1)",2.375140178163312,2.389811237192839,2.374466918573102,0.30258634350124236,-0.08864598622172548,-0.026640462244501006,294.04613076497543,0.10958461619855249
"F + A2 (8h, w1)",2.2481111100559024,2.2698518510338284,2.2351685453276042,0.2845229477230957,-0.0985902799227315,-0.025215841456426413,252.70162078467862,0.09449869483545373
"F + A2 (held daily, w1)",2.2775803932179763,2.320712152726553,2.2335105374377333,0.28987775803963367,-0.09012646084667586,-0.03405199249811752,247.91552688143577,0.0927063897220211
"F + A1 + A2 (w1, w1)",2.532863819223429,2.6590603087688964,2.337691935031343,0.3308243821878356,-0.08814978426036613,-0.025831603961741556,270.21933582891575,0.10089658111047198
"F + A1 + A2 (w.5, w.5)",2.3963598439215956,2.5252843879563796,2.205269224521771,0.30742362290722314,-0.07960804982679348,-0.02907710106346406,268.03219800516473,0.10008996763040284
"F + A1 + A2 (w1.5, w1)",2.241205318747331,2.2815432564829026,2.1905809243246543,0.2896325417984169,-0.09764239619669945,-0.02779413754960569,291.2153289553787,0.1085853227559484
"F + A1 + A2 (w1, w1.5)",2.435855309092048,2.64244861391158,2.11027948940234,0.31951211390232825,-0.10333649695719693,-0.026726866588163145,259.8114356528743,0.0970901405370997
A1 win 48h,2.2930945361402895,2.1820944451879285,2.49172690036794,0.2955354625277502,-0.10094421160574618,-0.025825144776408848,258.79812274523147,0.09669786088764376
A1 top .3,2.2530851888657284,2.284791739955352,2.217637089613263,0.28878629675918566,-0.10406681104208049,-0.02761412505166816,266.8185170649346,0.09966823799055777
A2 win 24h,2.295786796471564,2.2958997706373325,2.319304875453975,0.2956544413730888,-0.09168123380118798,-0.026556544082660172,284.7889286682099,0.1062397863502049
A2 win 168h,2.27266405445672,2.495673105957244,1.9311360673750002,0.29061141528009427,-0.10285358988470905,-0.03107981138390814,269.1931344720625,0.10051168134347627
A2 inv-vol weights,2.3976802748260497,2.478465790291013,2.2805662717972517,0.3072464199911171,-0.10664523394340286,-0.025422773272568477,272.86658461255087,0.10192613839715145
A1+A2 universe age>=90d,2.5017630833692293,2.5687840540223954,2.4080955621500544,0.3228981907331474,-0.0929909741266517,-0.02635033821207955,273.18311483357763,0.10208092545334238
band .4,2.2746772088837153,2.2973608113571387,2.252971325649762,0.29667003759134203,-0.11652169748868024,-0.02807864905041413,294.66246078367686,0.10990718696747953
smooth .6,2.2623176571196253,2.286500673396291,2.2379755908985324,0.2895995082733136,-0.09441776609182795,-0.028747143328159086,224.82329624749093,0.08408246609078052
VT win 60,2.4074735403001752,2.542740594527112,2.185803642978262,0.3123019334032624,-0.07962300523822063,-0.02732498849060727,266.65149191365185,0.09955527522248865
cost x1.5,2.062425671757317,2.049095186001568,2.1008298422052905,0.26046675053220225,-0.09019385107445532,-0.02829012370640549,269.60535129063203,0.15099306946205446
cost x2,1.5896184343247652,1.4806418674110813,1.7896079287850586,0.19192099158932074,-0.10534824924239672,-0.024544489963458482,269.1040589591263,0.20095166577903084
maker 50%,2.2524258698827873,2.306151774065944,2.178116356718708,0.2888980623402637,-0.08918933433529619,-0.028225891570921702,270.16859484452976,0.13210926234528672
taker only,1.5283037785434423,1.4472892642166295,1.681245374624005,0.18384564128562175,-0.10422587870070377,-0.025358999833855145,268.7198117318448,0.20903154489692988
ml8 weight 1 (pessimistic),2.107339838147807,2.023075712388119,2.256372532354604,0.27073470807412625,-0.09180591733785437,-0.02990965853821903,228.01344393215575,0.08532088027190694
ml8 off,1.3862797752991614,1.0674351056028273,1.9254489193300144,0.16880411537281104,-0.11382420458057951,-0.030104163187566924,196.4422507195078,0.07357468215913128
