label,cost,sharpe,sel,conf,cagr,mdd,wd,turnover,costpct,npos
"F  (listing,core,ml3n,ml7n,ml8)",x1,2.177713602648187,2.205777776007075,2.158203968560075,0.27524255031045164,-0.08094742527337417,-0.03791357551934604,269.91050193879835,0.1007451910309788,136.58900625978092
F14 (ml7n -> ml14n),x1,2.4291992375049425,2.5376225109211736,2.283106401680363,0.3104138034180346,-0.09116745197472231,-0.03772828071242118,270.33591351970483,0.1009021622761119,138.66001564945228
F+A1+A2,x1,2.532863819223429,2.6590603087688964,2.337691935031343,0.3308243821878356,-0.08814978426036613,-0.025831603961741556,270.21933582891575,0.10089658111047198,144.4878716744914
F14+A1+A2,x1,2.338131821495814,2.4232485277551103,2.213974889596863,0.29834693674574897,-0.10281863958679605,-0.030667303097920096,272.3681544540063,0.10169078279539048,143.1232394366197
F14+A1,x1,2.2629870219310098,2.2479878829763527,2.3087126770603303,0.28512794881686765,-0.08472998807799814,-0.026005168931587552,295.448968957876,0.11009498492498211,140.6964006259781
F14+A2,x1,2.319612773793023,2.44710739632997,2.1299264527927084,0.29607493135822627,-0.09996047537373531,-0.030393793578278983,252.6483350082826,0.09448201911559577,142.25430359937403
"F14+A1+A2 (w .5,.5)",x1,2.387809455791566,2.46627712663991,2.2779969898138916,0.3060631167651444,-0.08827066333089117,-0.026979184701750314,267.07412981626703,0.09972682364591298,142.89984350547732
F14+A1+A2 with 8h age-free model,x1,2.393211985011186,2.5687907478992775,2.103911077483207,0.31195441055080164,-0.09783779728937303,-0.030809750384078738,276.00894223585703,0.10330819211844144,145.31064162754305
F with 8h age-free model,x1,2.2678164777579077,2.474640196699841,1.9495549703478268,0.2944925034506276,-0.09204909952501306,-0.045554051284219965,274.15824583250946,0.10261768317200495,139.34898278560252
"F  (listing,core,ml3n,ml7n,ml8)",x1.5,1.727020745834374,1.6291467383382277,1.9084606806045068,0.2097351902369773,-0.09250173611479118,-0.0385681481368898,268.94685577005424,0.15058404370100154,133.78716744913928
"F  (listing,core,ml3n,ml7n,ml8)",x2,1.2723349848812873,1.1004992656210115,1.571352282958466,0.14792349298883867,-0.12261383751273602,-0.03776134295235878,269.65343738392005,0.20129634572627075,130.960289514867
