label,sharpe,cagr,dvol,mdd,calmar,worst,turnover,fees,slip,funding,npos,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026,r2021,r2022,r2023,r2024,r2025,r2026
P1 predicted funding (prem 8h) q20,-1.6858162025664623,-0.28232653645850103,0.009746803796438202,-0.8498006601342775,-0.3322267790209338,-0.07960891659687763,732.8004458030231,0.4030402451916624,0.1344404389233777,-0.3750427889878247,39.431004518595756,-2.7568159818827334,-1.794299125679997,-3.602311177458727,-5.438160016461669,0.05769785180576051,-1.4170396333849868,-0.16745915027451297,-0.18843182827887472,-0.290151966653431,-0.47282342084701146,-0.01867945210256805,-0.29339761421613053
P1 predicted funding (prem 8h) q10,-0.5436330378805929,-0.08625549034906499,0.007648107298228068,-0.47445902889043823,-0.18179755240190718,-0.07307099209171997,403.2315848192352,0.2217773716505795,0.07378486354749458,-0.33539342413457257,19.720194647201946,-1.0235564010113014,-1.113825937971484,-1.9948821860124295,-2.6507439191890674,1.2803965423591994,-0.842312936973223,-0.056070912134499884,-0.10295401978036522,-0.13903487751637422,-0.2123840401733984,0.27568648583897537,-0.1496605384522678
P1 predicted funding (prem 24h) q20,-1.6900990658807873,-0.2750166075979481,0.009440376032428954,-0.8219941338573885,-0.3345724694807731,-0.0652262778370225,520.0098033003482,0.286005391815191,0.09721337058372805,-0.37204800661381204,39.50156412930136,-2.2699249773554397,-1.8426032861090829,-3.049914606281686,-4.122383706125353,-0.24026079276025752,-1.7951634394077527,-0.1440427421935334,-0.21069784143959547,-0.2578132802757318,-0.39088359791650495,-0.081917973710536,-0.3406028317588238
P1 predicted funding (prem 8h) rank,-2.151026471547763,-0.37084550924873605,0.010740984482268574,-0.9133535861888231,-0.40602622516669323,-0.0807223307939211,1007.0376167713015,0.5538706892242167,0.1849718753207826,-0.3780672437596383,93.25634341327772,-2.7556457404779007,-1.8117786248187544,-4.4134053860454205,-5.296678131950623,-0.3065358682401711,-1.964045336278656,-0.214875789386187,-0.23166593939547586,-0.4213872451857653,-0.5701164952252815,-0.13497004064473184,-0.3230955601389349
P2 basis z (8h vs 7d) q20,-2.289410369903949,-0.32039793975538133,0.008513127836502297,-0.8723432835430527,-0.36728423939574534,-0.07759440515925597,799.169922529983,0.43954345739148826,0.1438721931534218,-0.21123886000472566,39.4261383385471,-4.504015307935843,-1.5402395496341108,-4.114514781015852,-4.904538229289169,-0.6413300249052066,-2.076954988988223,-0.2783530643715919,-0.14685011377684654,-0.3161012345625628,-0.4469181043950746,-0.1497660823723258,-0.3348407376963153
P2 basis z (8h vs 7d) q10,-1.7398194968228053,-0.20529842422738653,0.006659198831776588,-0.7067944485605586,-0.2904641149276547,-0.07205413184716147,452.40558768211025,0.24882307322516076,0.07953645075934258,-0.18571965876496876,19.718109141466805,-3.7296205581852084,-1.741641957662236,-3.3998482883747023,-4.691428073939872,0.37867426170998775,-1.798517207100029,-0.18329866963152974,-0.1356383806950504,-0.21371963243935965,-0.3192430365378004,0.05114743402621058,-0.24623983362055224
P2 basis z (1h vs 7d) q10 reb1h,-7.200599172394076,-0.3552157295564099,0.0031708574802983723,-0.9010229535307626,-0.39423604889333835,-0.027504406196238618,989.2354325433879,0.544079487898863,0.17648555588139034,-0.0038790000793700813,4.776107405878647,-17.106666312794435,-15.338928497469736,0.0,0.0,0.0,0.0,-0.592449860244427,-0.7547899628200627,0.0,0.0,0.0,0.0
P2 basis z (8h vs 30d) q20,-1.9417511554481022,-0.2795074713049903,0.0084700503017725,-0.8304488412215553,-0.33657397914755666,-0.03974652096597986,724.1076670299938,0.39825921686649784,0.13132600491569335,-0.26113229492307244,39.43065693430657,-3.3231587725716722,-1.1235511157323421,-3.0446291839772757,-5.063038414935708,-0.48496251769009574,-1.5125034925302578,-0.21698303971794364,-0.11332790355983402,-0.26407135915065194,-0.46581205207712373,-0.11670239336596455,-0.2576597985513882
P3 realised168 + predicted carry q20,-0.4777602998961676,-0.10338817582031501,0.009961169413004692,-0.5386504573677148,-0.19193927010405717,-0.07218527535442232,383.39006602124164,0.21086453631168386,0.0732144276575431,-0.3835058941353935,39.684045881126174,-0.8018759252481018,-0.9753844755851461,-2.183881909921777,-0.9853529335544605,0.8378193925124965,-0.9275786201619394,-0.056864886205925,-0.12090149537587103,-0.18860987721386357,-0.12814424390311285,0.2100681013917325,-0.20539591785819178
P3 realised168 + predicted carry q20 reb24,0.10379251797006163,0.0010454216554569573,0.010307688821361748,-0.3048828949683212,0.0034289285141321326,-0.09670192322099191,175.06972340436468,0.09628834787240044,0.034829824006857045,-0.33737657147389144,39.681960375391036,0.6801490620487671,0.28752356708563886,-0.4210093742912206,-0.22234318016631271,0.2289773254306074,0.13215032473663996,0.043658885565672545,0.02648520550624278,-0.04208252796837508,-0.036972189722029536,0.02402878545840892,-0.006446384978061381
P4 mom720 + 0.5 carry168 invvol weekly,0.5957430201681246,0.10112531486158027,0.010080368477501534,-0.34370478049444697,0.29422143742627593,-0.0770178708941267,31.933701967700074,0.017563536082235036,0.006230310081869049,-0.16215512209954636,39.81021897810219,1.9015813162580815,-1.218976823201339,-0.6247241992380362,0.5081456960576358,1.9360523275649957,0.24416851033149814,0.1865358467538798,-0.13740117338855307,-0.07947666051748525,0.07337890531273894,0.6082584065906085,0.019401047339736355
