label,sharpe,cagr,dvol,mdd,calmar,worst,turnover,fees,slip,funding,npos,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026,r2021,r2022,r2023,r2024,r2025,r2026
S1a pred-fund q10 8h taker (ref),-0.5436330460458617,-0.0862554914407242,0.007648107298218028,-0.4744590314463396,-0.18179755372341766,-0.07307099209343548,403.2315848195678,0.22177737165076247,0.07378486474210767,-0.33539342413542644,19.720194647201946,-1.0235564142816307,-1.113825953008098,-1.9948822038159517,-2.650743933679567,1.280396537578454,-0.8423129403080754,-0.05607091281095122,-0.10295402104180185,-0.13903487864928532,-0.21238404118572807,0.27568648457768785,-0.14966053892645848
S1b pred-fund q10 8h maker70,0.4861604446562963,0.06230916131847475,0.007646218518126849,-0.27656934233563746,0.22529308768274414,-0.07260270182932149,404.15712186274186,0.12326792216813644,0.022179818255445294,-0.33635792498891764,19.720194647201946,0.7458571642678864,0.6517716118236887,0.18848352310896993,-0.837241905113683,1.9657694190376886,-0.4391220988708533,0.03844843839617562,0.05815261060738086,0.011187051165311379,-0.075137333746086,0.4691591880107737,-0.09036724761236437
S1c pred-fund q10 8h maker70 band50 smooth0.7,0.23262844827129392,0.027634422823850535,0.01155510286758031,-0.3933542508661837,0.07025327091990241,-0.0656978925020677,232.76398845817758,0.07099301647974392,0.013669640830866909,-0.49390057624599204,296.6722280152937,2.7378543578553507,0.7282867645609487,-0.023084770822196378,-1.1924213557686523,0.926550743002679,-0.620218001848519,0.26110102713624994,0.09594579861688968,-0.009911380137184289,-0.1737634950150746,0.25774598692822215,-0.1886199924150398
S1d pred-fund q10 24h maker70 band30 smooth0.5,0.36489166539276524,0.05551881658167157,0.010792004690036393,-0.3641687599502974,0.15245353949854282,-0.08613414029406796,121.36359554920263,0.03701589664250691,0.0072501594631120565,-0.4049208198741295,288.87904066736183,4.06960318654254,0.6663753419454597,0.21435257975616775,-0.29648976774216423,-0.05254059515925082,-0.1267291621974818,0.41706089082046627,0.09479598885286067,0.017596816994868814,-0.05271064536541148,-0.059232909246608845,-0.05616075332230974
S1e pred+realised72 q10 8h maker70 smooth0.7 band50,-0.013925348545829571,-0.023784558921157273,0.010785379846023813,-0.5242494213994955,-0.04536878421781579,-0.08242117741213817,113.99751402744086,0.03476924177836965,0.0071239775271216155,-0.42464335146837245,289.4124087591241,1.0639185619397713,0.38557832321513474,0.6371667394650952,0.48008394338212024,0.11880491978001577,-1.4514152214148877,0.08948758305046023,0.04440384130945718,0.06402483294116457,0.06097507173285677,-0.006973703205829018,-0.3090884653966852
S1f pred-fund q5 8h maker70 smooth0.7 band50,0.1428960854249856,0.00905882722432616,0.010210890284665855,-0.3262925871290451,0.027762896105821118,-0.0784456190318199,122.39681279542495,0.037331027902604744,0.007295272153343481,-0.43154859246323896,288.66110531803963,1.0823233934069678,-0.21450744289721219,0.8195572194952478,-1.4022671827958078,0.8367658257077961,-0.0909256812536035,0.08457444664387603,-0.036321696746270615,0.0827030623779259,-0.18423608806444958,0.20170145401704231,-0.054865470677007755
S1g pred-fund q10 uni50 8h maker70 smooth0.7 band50,0.3911520530218752,0.057543626204554554,0.009793381436425053,-0.30489142286158744,0.18873481410443943,-0.0501951711123505,108.66336094686582,0.033142325088794236,0.004953877482460773,-0.3690743689134164,267.65293708724363,2.4896482211372213,-0.09084602395456128,0.8525141264903056,-0.35300565416628726,1.01182230700103,-0.3687962909410822,0.2010741606191362,-0.02106402246579875,0.08733269762126028,-0.05389171236699508,0.24114648176692377,-0.10653372519627569
"S1h pred-fund short-only q10 vs long BTC, maker70 smooth0.7",0.14090144045772032,-0.01929879313892524,0.020136971464921848,-0.48174357309250393,-0.04006030215406569,-0.09886522765748995,120.34004370845969,0.0367037133310803,0.007168481469072698,-0.01834773053521665,280.83298574904416,-0.7243011736709304,0.9733572028836527,-0.4501935608343729,0.3327570820010453,0.3928656808168489,-0.6512786748558607,-0.18456457379534452,0.3389098566598123,-0.1465426412832943,0.054337084140369196,0.0733156494298508,-0.1438476070630743
S2a TS ens majors10 weekly,-0.013788207164120434,-0.12128294714934396,0.025835453574851005,-0.7420300433656558,-0.1634474885084012,-0.1821403817687055,40.03445314106575,0.02201894922758618,0.004205057240921282,-0.03754203660536546,7.864963503649635,0.9717087841485663,-1.3569351304829067,0.9455766623434785,0.5123668440956705,0.40233920814282315,-2.3595997814988743,0.27314101547521386,-0.617487044139964,0.39051138793622653,0.13983540848664244,0.08494857999542127,-0.3941773549330836
S2b TS ens majors10 daily band30,-0.3192099254269011,-0.2672398421129678,0.027859249499117538,-0.9266033989986182,-0.2884080094173692,-0.15137828213586368,181.4811004132344,0.09981460522727902,0.01891806414127025,-0.07694738493332479,7.8847758081334725,1.893136579703118,-1.038645596366896,-0.307874919588837,-0.48110534890692946,-0.6742200948254312,-1.5772835660087625,0.9545896784330714,-0.5269998622377619,-0.2103847099150904,-0.3371766605880596,-0.36551038644201983,-0.36305352768410404
S2c TS ens majors10 weekly market-neutral,0.3369444090707048,0.05732529876759718,0.01531788903044974,-0.503755614369098,0.11379585064395831,-0.17682906144096644,44.74281057814437,0.024608545817979388,0.004742614995429069,-0.1069728504494502,9.222627737226277,2.2332509606432467,0.6470788604478476,1.213136614085574,-0.2229307604368503,0.3004381305636073,-1.157181844750332,0.30668175532458664,0.16923300126627172,0.3019015405048546,-0.108801903257989,0.0459728404788764,-0.2773728053221842
