label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,stops,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
A majors-hedge,0.5733585733699964,0.10395836950469861,0.011081097019318534,-0.4221800728716194,0.24624177202714514,-0.10661672504988906,-0.035101270837721875,14.036938434828414,0.004281266222622667,0.0009794114235829432,0.05309800909974863,22.25176056338028,0.44272051986253896,0,0.02855949824336135,1.267033684665732,1.0814596504470324,0.43309090400133604,0.5861656554099597,-0.0060885661711720385,0.16093498214292112,0.18929181398135575,0.09407943702872346,0.05627414501110417
A basket-hedge,0.2129790106375746,0.022495276794800345,0.009949776997738373,-0.4710696147896992,0.047753614414483836,-0.10200198030328589,-0.030729308444089207,26.546453529996707,0.008096668326649,0.001692321016073388,0.002783741482384996,59.66079812206573,0.42753789720127827,0,-0.39097484248890807,0.8551138639493558,0.48335400785213983,-0.021026959156129888,0.6684876804993286,-0.03397770313335369,0.08379653240339269,0.05763608587586644,-0.06318462873161224,0.06935342091308638
A btc-hedge,0.5673775009843859,0.08939885353017907,0.009370935857778028,-0.3779860747105803,0.23651361591063147,-0.06372550060961946,-0.028383030428173375,11.295512189468049,0.003445131217787748,0.0007938754901656073,0.05076054590884298,18.18075117370892,0.37589691580976275,0,0.5389710210419973,1.2082273107486243,0.7092934109265271,0.37017597290256127,0.3448162656180642,0.05990159601019407,0.1528247220953156,0.11348855015872505,0.06557142232106306,0.02822714643634039
C core336,1.0285252352834926,0.24702604557140173,0.012707546780588328,-0.3344331543884884,0.738641015674562,-0.05455849521011602,-0.028698136664021358,101.83808813107323,0.031060616879977358,0.006152102648552065,-0.14413872027978905,74.17957746478874,0.9230668757827788,0,-0.7627056070295414,-0.5494009994220208,0.7624335336701211,2.8691532349654953,1.71709117338954,-0.16408466500938612,-0.09258890300102818,0.1370918044640852,1.286690283368142,0.41924090506779277
D3 q30,0.7646458489984694,0.17049828134396883,0.012837277588406928,-0.25248482172791176,0.6752813080083824,-0.09969491813177389,-0.042535183760922586,222.3358323458092,0.06781242886547179,0.015582769022735468,0.08688354526133803,136.90140845070422,1.351307174892836,0,1.6621300146576587,0.3121294626495934,1.1375138377482759,0.33581488023869566,1.0091401360075083,0.2931267354147902,0.03457773556524635,0.20518492949532918,0.057240376886604105,0.2222251221223448
D7 q30,0.6281767196562352,0.1320004212325625,0.012844716381570113,-0.3066142603166464,0.4305097247131735,-0.08267925952763311,-0.041372176183637636,196.06457004001027,0.05979969386220312,0.014092044781396149,0.09541733452291977,132.5005868544601,1.3583817549690973,0,1.4340498007286286,-0.3502559855310688,1.3352421780159462,-0.1655490504616601,1.5496752163260379,0.2263564306236836,-0.06244186882238556,0.2688275875712791,-0.11063378346443198,0.37393056495089505
D3 q20,0.561583700258368,0.1144086225633354,0.012987020305008106,-0.3703851572930682,0.3088909477112721,-0.12494619647951577,-0.04019979014258454,192.65923508211011,0.05876106670004385,0.01325568439065942,0.085694417249345,108.31338028169014,1.1444666972704824,0,1.8655701640331002,0.15410241375140518,1.1063624923880973,-0.029645429427617543,0.6706437661262001,0.32067089300477836,0.011868797892748528,0.1926381000977555,-0.07461281560580135,0.12356100837930839
D7 q20,0.5309042944398363,0.10385495994046234,0.012614278370123798,-0.3449926605001836,0.301035272718133,-0.08587742576868407,-0.04166985297042226,165.8655899933582,0.05058900494797433,0.011662302191193552,0.09125203778707887,102.30223004694835,1.1243289907897738,0,1.6274073524682147,-0.32266227933375036,0.45852908169926887,-0.04164433748859688,1.391497103313039,0.27182215601730086,-0.05673664275670676,0.06652383177322574,-0.0685815083769562,0.33016360900573716
carry pred q10 (maker),0.1085724781264729,-0.0009777539896419496,0.011931330180935234,-0.4001398687495664,-0.002443530534095219,-0.06205320494769806,-0.030684879695919716,241.56000130448493,0.07367580039786793,0.014151682803318869,-0.5447411142431404,74.9197965571205,0.8668710961916014,0,0.6780679880916654,0.15926874856598244,-1.2636783421442521,1.2036420528361849,-0.6340730206822491,0.09753921889695683,0.01203406927044437,-0.18111173127135693,0.3539653994421681,-0.19170152890758907
A_maj+C+D3+D7 (ref),1.3802882887090993,0.3019916801166209,0.01080816326012737,-0.192121899618101,1.5718753517690758,-0.06688428262651058,-0.030240780213611037,136.1203737305565,0.04151671398781979,0.00955580981629397,-0.0002546285037236116,143.62910798122067,1.0798167749302119,0,0.7097084776908995,0.5908008373586203,1.6234411723099074,1.611033110336247,2.3563612768138906,0.07574749456398178,0.06860156840777631,0.3498835471765236,0.578643238260447,0.39720840751634534
A_bsk+C+D3+D7,1.2827702074529532,0.2522209704424194,0.009900496738560157,-0.23095200670727611,1.0920925647985749,-0.06858343900967945,-0.028140950375125786,136.95913186783528,0.0417725352196898,0.009599090414121273,-0.02705123994387464,143.94776995305165,0.9955777630420135,0,0.8021156547236211,0.3210881196363551,1.3830306859292167,1.4998138465694058,2.356932677014164,0.07135256418607105,0.029493765143777217,0.2546514248448688,0.47757092481414065,0.3957763306718187
A_bsk+C+D3q20+D7q20,1.1893414122370543,0.23834011576224268,0.010243860977748206,-0.23313005105171392,1.0223483144479935,-0.061455764752709974,-0.029662069176483848,147.267877522295,0.04491670264430008,0.010197176753605555,-0.011725421460795867,133.26760563380282,1.001935146508001,0,1.3950465447581197,0.1691511546500854,1.2173608410636312,1.292745950686351,2.1202353240081004,0.15072280163425256,0.01321171828251222,0.2100421850764045,0.4054875166667644,0.366385873669113
A_bsk+C+D3+D7 + beta hedge,1.3616213301183289,0.2696802788949626,0.00985170956883811,-0.225056572389977,1.1982777256084045,-0.06553687291749155,-0.027242466707010308,133.98650807420321,0.040865884962631924,0.009242350829511487,-0.03620911091520429,144.32805164319248,1.015750143030258,0,1.2740285122443744,0.4700773733965077,1.4190748167884932,1.4759006953335467,2.421953348424093,0.1212162234812384,0.04756954506940536,0.27241022065875153,0.45782446290775525,0.3972580146493905
A_bsk+C+D3+D7+carry,1.1444072578505564,0.23551262281970442,0.010607041347143329,-0.26378667565662717,0.8928147008966367,-0.08724115120716536,-0.03321659905673158,159.9185985682217,0.048775172563307614,0.010579009717892348,-0.2706435344951196,143.41784037558685,0.9743438131944541,0,1.4790454872609213,0.4568693609429558,0.9508175132173701,1.3337786003307772,1.8046931438129878,0.1590806513280143,0.044081528102265954,0.160820025057125,0.4491677892450392,0.3167744071593568
A_bsk+C+D3+D7 VT0.6 lev3,1.0554823526743184,0.14535019138484784,0.007190908711310366,-0.1992197283511249,0.729597374006407,-0.05957627572709545,-0.021844221049641843,115.76807106369822,0.035309261674427925,0.00808103773694323,-0.00339903072185638,86.59917840375587,0.7880872575248782,0,0.8034373805710211,-0.3232025817452395,0.19889141225268736,1.5194421083609668,3.4722337199322095,0.08708174944652658,-0.045177672168584815,0.017389310243589806,0.2861351858047545,0.38626021404057975
A_bsk+C+D3+D7 VT0.5 lev3,0.6811384378694119,0.08847119900628453,0.007254158133990509,-0.30802700744829925,0.2872189664535016,-0.1060757267196688,-0.020957162713409805,93.24182304046136,0.028438756027340688,0.006374988401480165,-0.01717641809434027,70.52699530516432,0.6031708170669852,0,1.8474675555490747,-0.23391813333766465,0.18077157085169057,-0.49801561741345324,3.811744270345555,0.20372068228213847,-0.03007546245989423,0.01480640445898418,-0.11251899066105553,0.41206685912008667
A_bsk+C+D3+D7 VT0.6 lev3 stop30 dstop2,0.3416103658197758,0.037667539354749424,0.007043941790860997,-0.30218448687609745,0.12465080394925492,-0.03612083766965979,-0.02246023003247577,139.10113021229657,0.037598757923728764,0.008575232108186734,-0.024527317847433613,82.66823253082795,0.77286967543384,1714,-0.19066256125973954,-0.45866575016613814,-0.8345243824086278,1.1830959552873266,2.165554164699536,-0.02997336037118059,-0.05803993278736452,-0.11262990405972495,0.1832922129231198,0.23839592940568566
A_bsk+C+D3+D7 VT0.6 lev3 capS1% stop30,0.05060424580583088,-0.0012432690046382255,0.006348801712242812,-0.24222435272646592,-0.0051327167789337914,-0.052419078475320235,-0.01975734923770047,109.70850772581429,0.032307125179839975,0.007393380581045879,-0.01461453008770251,96.42488262910798,0.7591781481197188,2008,-0.45522959135745183,-0.3115470719300004,-0.42013519332834065,0.5644307627473714,0.7931646947016536,-0.053635516489162316,-0.03312661125704197,-0.05465336086780148,0.0746572766858411,0.06952711579438886
A_bsk+C+D3+D7 VT0.6 lev3 gross<=2,1.0608872663656221,0.1455129439845606,0.007155752508674006,-0.2003256354540287,0.7263820375678842,-0.05600722958008897,-0.020880672135234174,115.15057140648969,0.03512092427897933,0.00803760044992367,-0.004908768746635193,87.32100938967136,0.7873880229272333,0,0.8034373805710211,-0.28733682993441323,0.12683995395200168,1.6094210083862523,3.3777696364690604,0.08708174944652658,-0.04089335325455268,0.00811963024895812,0.30174602876879986,0.3769672142122338
