label,sharpe,cagr,dvol,mdd,worst,turnover,cost,fund_income,price_alpha,gross_sharpe_price,gross_sharpe_incl_fund
core mean/std 168h,-0.25,-0.096,0.0139,-0.655,-0.096,217.0,0.22699999999999998,0.13699999999999998,-0.006000000000000005,-0.022593838385189104,0.4932988047432949
core mean/std 336h,0.34,0.057,0.013300000000000001,-0.618,-0.057,172.0,0.18100000000000002,0.142,0.09600000000000003,0.3778097486365453,0.936653335161435
core mean/std 720h,0.06,-0.017,0.013300000000000001,-0.552,-0.09300000000000001,136.0,0.14300000000000002,0.14,-0.014000000000000012,-0.05509725500949622,0.4958752950854656
mom 168h skip24 EW,-0.1,-0.063,0.0143,-0.698,-0.09699999999999999,225.0,0.23600000000000002,0.086,0.08700000000000002,0.31844672213530495,0.6332331371196293
mom 336h skip24 EW,-0.02,-0.044000000000000004,0.0147,-0.527,-0.147,176.0,0.185,0.08900000000000001,0.05199999999999999,0.1851567617325926,0.5020596808518377
mom 720h skip24 EW,-0.3,-0.11599999999999999,0.0146,-0.589,-0.135,143.0,0.15,0.09,-0.055999999999999994,-0.20076534017158879,0.12189324224703607
mom 1440h skip24 EW,0.15,0.006,0.013500000000000002,-0.5379999999999999,-0.128,120.0,0.126,0.064,0.068,0.26365056841581136,0.5117922798659867
mom 2160h skip24 EW,-0.28,-0.091,0.0125,-0.541,-0.133,107.0,0.11199999999999999,0.046,-0.025000000000000022,-0.10468478451804283,0.0879352189951558
mom 720h skip24 invvol,-0.35,-0.12300000000000001,0.0141,-0.599,-0.131,142.0,0.149,0.086,-0.060000000000000026,-0.2227335840809421,0.09651788643507475
reversal 24h,-1.5,-0.37200000000000005,0.0148,-0.9359999999999999,-0.121,457.0,0.48,-0.114,0.22199999999999992,0.7851358838853203,0.3819579975658313
reversal 72h,-1.12,-0.304,0.0149,-0.873,-0.13,283.0,0.297,-0.147,0.13999999999999999,0.49180771250087185,-0.024590385625043617
reversal 168h,-1.31,-0.345,0.0151,-0.9109999999999999,-0.127,206.0,0.21600000000000003,-0.149,0.020000000000000046,0.06932767186625363,-0.44716348353733476
funding carry 24h,-0.56,-0.161,0.013300000000000001,-0.6409999999999999,-0.132,290.0,0.305,0.449,-0.305,-1.2003330555640237,0.5667146229548179
