,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
0GUSDT,64.94289329405777,-68.75204004093982,2.053461635883973,5351.384977406905,2160.0,-52.401044084842404,117.34393737890028,0.0
1000000BOBUSDT,-225.5575467024104,-34.46929851194037,0.4733818702408851,1257.247962695986,696.0,0.0,-225.5575467024104,0.0
1000000MOGUSDT,153.15692538421712,1.712538762528551,1.7753061993760244,4573.482371798591,1680.0,56.26728983754422,96.88963554667286,0.0
1000BONKUSDT,-303.77243655043014,14.006477230494424,6.125049880077049,17077.090028807168,9072.0,-13.262632862997652,-290.50980368743336,0.0
1000BTTCUSDT,7.062299978148491,-0.14150020019252244,0.45745711420864177,1118.776303856569,384.0,6.046255401134652,1.0160445770138342,0.0
1000CATUSDT,39.194669049226384,1.8968795747389133,1.4622262235444752,3839.9416096522855,1584.0,-22.929055183833455,62.12372423305987,0.0
1000CHEEMSUSDT,-32.30166901605989,1.2104695904472607,0.9796617959536115,2512.0844267931043,1128.0,5.7086671064262,-38.0103361224861,0.0
1000FLOKIUSDT,231.08794223951733,9.604336316881684,6.431750649632666,17103.932392655035,9264.0,144.95504106968534,86.1329011698305,0.0
1000LUNCUSDT,243.88224972466844,-2.8764546245978075,6.710298520083039,17873.23013710529,12072.0,27.246990924075753,216.63525880059217,0.0
1000PEPEUSDT,-373.6143910862019,5.068384666624691,7.065870194894048,20812.68319371283,11760.0,-90.49232624496457,-283.1220648412363,0.0
1000RATSUSDT,16.918771113254834,22.746926440340598,3.6719520156613736,9829.209995057641,5304.0,56.066040137999636,-39.147269024744546,0.0
1000SATSUSDT,102.94588763196957,11.177947782946793,3.456549730492836,9606.244383297324,5640.0,18.260550171393895,84.68533746057588,0.0
1000SHIBUSDT,-289.60687874723334,13.537763154293753,10.8069625380468,30772.521053380995,19800.0,-88.20505492823621,-201.40182381899712,0.0
1000WHYUSDT,35.39432345175818,1.9076862355388133,0.4200400675284273,1035.798689618508,384.0,0.0,35.39432345175818,0.0
1000XECUSDT,251.975881373328,6.147196653605178,6.106497619092515,15541.947963758068,7920.0,106.08521238921539,145.8906689841124,0.0
1000XUSDT,39.110209096398,0.6396299724056241,0.7255083012435486,1824.3531663622869,792.0,0.0,39.110209096398,0.0
1INCHUSDT,-11.802700052829945,-0.6051589659376069,9.176409733810695,24160.258082474313,13968.0,22.35357971746051,-34.15627977029049,0.0
1MBABYDOGEUSDT,-8.035955732291669,1.485449586279509,0.9472601826420209,2625.5331249833475,2160.0,-20.22110923822131,12.185153505929664,0.0
2ZUSDT,-12.237480969555147,-5.113076779543496,0.8795776624383383,2181.208844100413,936.0,-11.177023779036071,-1.0604571905190794,0.0
42USDT,-9.25608411376907,2.693720990824987,0.07759658805616584,188.5860385810542,72.0,0.0,-9.25608411376907,0.0
4USDT,35.97895785724132,8.56413071563001,1.858958147060596,4722.424870550399,2328.0,-57.20663702991556,93.18559488715681,0.0
A2ZUSDT,121.19264991437333,0.8512144237586831,0.47027825407501994,1198.7749928424432,600.0,0.0,121.19264991437333,0.0
AAOIUSDT,140.49227616032078,0.6394429686315225,0.7058735821066039,1763.0065335428985,888.0,0.0,140.49227616032078,0.0
AAPLUSDT,10.15763697497418,0.048253957021770696,0.4478076417549194,1125.6079205403241,600.0,9.689437685850356,0.46819928912382014,0.0
AAVEUSDT,68.35362695850247,1.0105715811910339,12.1205491194798,34011.43467191416,20111.0,157.27300919370055,-88.91938223519762,0.0
ACEUSDT,-364.6663868142664,-21.565704137943133,2.535763031939932,6837.133725111565,3600.0,-61.44867621878,-303.2177105954859,0.0
ACHUSDT,-93.49520785477486,-0.43090003361964563,4.839576414796698,12458.642975931647,5136.0,-45.046628399161285,-48.448579455613555,0.0
ACTUSDT,204.98840656413145,2.5006346549394705,1.9541492908322755,5151.730217398632,2712.0,5.216866253659673,199.7715403104717,0.0
ACUUSDT,-37.2610673484653,0.5953775708950246,0.3258029798654614,800.2765936944694,264.0,0.0,-37.2610673484653,0.0
ACXUSDT,54.491581753525644,0.3440380233304414,0.16428275216086485,441.69602788574554,384.0,0.0,54.491581753525644,0.0
ADAUSDT,-87.23366927672916,-3.3694857696317775,10.980192141890091,32270.40501684001,19704.0,35.65701718507169,-122.8906864618013,0.0
ADBEUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AERGOUSDT,-2.4878103140304946,10.313929580845455,1.0568136271805273,2790.914167976582,1128.0,-38.792383423269534,36.304573109239016,0.0
AEROUSDT,-26.403021663624248,5.541228940711328,2.584107317985601,6550.046559687434,2424.0,-35.14218617426471,8.739164510640448,0.0
AEVOUSDT,72.01691265901263,-7.792248288019741,1.3631930105912526,3715.1981754258145,3672.0,-58.95542008694451,130.97233274595723,0.0
AGIXUSDT,151.83653066805192,-2.026661308959572,3.4527663291107644,9255.211004784893,6192.0,98.9210956756064,52.91543499244566,0.0
AGLDUSDT,-9.670642178108036,-9.687122439906378,3.681489269966586,9558.872672751459,3504.0,-15.322962704215962,5.65232052610775,0.0
AGTUSDT,-237.23467920884883,0.8087436655966821,1.3502294464973392,3497.423171843603,1320.0,-82.61109069630999,-154.62358851253876,0.0
