,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
0GUSDT,72.30569056422893,-9.51455843207046,0.9738428658626095,2570.3997146183265,1704.0,-0.8015484928638341,73.10723905709278,0.0
1000000BOBUSDT,-70.66550692129957,-8.009336841188214,0.7011611594162531,1827.7140775946898,888.0,0.0,-70.66550692129957,0.0
1000000MOGUSDT,51.954845017985306,0.5975254164135912,1.5968290469191422,4077.081525938082,1992.0,10.315355633370684,41.63948938461465,0.0
1000BONKUSDT,-191.77112071101521,11.15602805905931,4.755003258191668,13291.610603073455,7752.0,-10.511911748344895,-181.25920896267,0.0
1000BTTCUSDT,9.285022055244362,-0.20306821288590043,0.44451151216964563,1086.6366603467775,384.0,3.2329897677490784,6.052032287495277,0.0
1000CATUSDT,38.026902069974234,2.0508256635156252,1.070021736237351,2871.387679430494,1608.0,-8.282275152495513,46.30917722246967,0.0
1000CHEEMSUSDT,4.130613205554887,1.1554794715528276,0.7935309613695328,2073.584043427524,1176.0,20.880747945328782,-16.750134739773944,0.0
1000FLOKIUSDT,135.56887908879787,7.174809986360286,6.854509278905302,18234.450482995857,9600.0,99.4515766305595,36.11730245823737,0.0
1000LUNCUSDT,272.5738953713849,2.7319113122770724,5.988393257975059,16039.442275554129,12096.0,137.4985576751996,135.07533769618632,0.0
1000PEPEUSDT,-290.982299888432,10.643811910425093,6.625393266297888,19513.250841020108,11831.0,-37.21678343010242,-253.76551645832907,0.0
1000RATSUSDT,-26.444864225128573,19.768281460063413,3.1890546238540356,8610.849658339179,4656.0,37.52745367172302,-63.97231789685155,0.0
1000SATSUSDT,206.87801325728384,10.161869417227445,2.9645877345328366,8217.997194816946,5616.0,19.63772012711859,187.2402931301653,0.0
1000SHIBUSDT,-27.107457963502004,11.798553160982209,9.673990336816303,27675.683362644228,19272.0,-62.29317777758342,35.18571981408127,0.0
1000WHYUSDT,-2.0229296740724014,0.6738783118933374,0.1502074678488477,384.7671316754797,240.0,0.0,-2.0229296740724014,0.0
1000XECUSDT,194.18312356206823,9.882855891902688,6.017853622621661,15316.864759793729,7416.0,98.2528385438704,95.93028501819832,0.0
1000XUSDT,97.46407409189585,0.8555864788400765,0.7484968774518319,1905.9348015254313,1008.0,0.0,97.46407409189585,0.0
1INCHUSDT,139.83496089823615,0.053775568866965745,8.14497518052094,21354.606845029175,13008.0,36.0079677715038,103.8269931267318,0.0
1MBABYDOGEUSDT,27.555909067937687,1.5737411208654952,1.1906210765806353,3200.8474267433235,2328.0,-3.4150859068407735,30.970994974778453,0.0
2ZUSDT,63.17112687082276,-3.103097616121967,0.8547445656664926,2199.8852539720265,600.0,-5.3039974667406184,68.4751243375634,0.0
42USDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4USDT,18.573395156954767,7.196404186207656,1.1076757790046203,2764.0069651969457,1368.0,0.0,18.573395156954767,0.0
A2ZUSDT,-214.54269510278672,1.5088413291183127,0.5678790632044014,1503.4721966329155,600.0,0.0,-214.54269510278672,0.0
AAOIUSDT,24.09874701054232,0.2596044335040491,0.5487093772979756,1364.1019363854077,623.0,0.0,24.09874701054232,0.0
AAPLUSDT,0.708307354828787,0.015226950042562234,0.6124533912789691,1545.0157045892363,528.0,1.6255892946845085,-0.9172819398557202,0.0
AAVEUSDT,1.4271490057104945,4.195310533052833,9.027122543327964,25355.124737879483,18455.0,48.820599665388976,-47.393450659677676,0.0
ACEUSDT,-143.0880934699282,-11.645404753764888,1.8694179745484953,4898.323761562914,3288.0,-6.45362443698174,-136.63446903294636,0.0
ACHUSDT,-105.62237058163936,-0.219234171268587,3.979870550091131,10192.542409477775,5136.0,-98.72535238512626,-6.897018196513146,0.0
ACTUSDT,230.4165712151938,1.5272383759666852,1.637684104309691,4414.4948396180125,2664.0,-6.641726487550051,237.05829770274363,0.0
ACUUSDT,49.6404019608922,-0.12136001852282116,0.21148641024516907,543.8440186520464,312.0,0.0,49.6404019608922,0.0
ACXUSDT,64.70064303194158,0.4885543777290039,0.2826522148092634,728.1935889858488,384.0,0.0,64.70064303194158,0.0
ADAUSDT,134.90938875346532,-1.149055842781371,8.663315471819214,25419.25823083125,17976.0,36.59764298103677,98.31174577242754,0.0
ADBEUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AERGOUSDT,4.754718812392284,18.314453898673094,0.8879768226048493,2332.468809440454,816.0,-21.27778452160037,26.032503333992665,0.0
AEROUSDT,-40.76912245414658,1.3651953391011986,1.699685906000592,4343.034492142798,2136.0,-36.879242943015726,-3.8898795111308755,0.0
AEVOUSDT,-14.765630727969752,-17.371941430887368,1.414087872172885,3783.458909905335,3576.0,-39.04499926342132,24.279368535451535,0.0
AGIXUSDT,223.1236152528434,1.5500480991233245,3.4200893045926217,8995.798598596644,6600.0,119.15094141080641,103.9726738420366,0.0
