start,p1,p1_days,p1_min_eq,p1_end
2022-01-01,halt,56,9947,10465
2022-03-01,halt,30,10000,10174
2022-05-01,pass,38,9735,11035
2022-07-01,halt,19,9634,9625
2022-09-01,pass,62,9951,11033
2022-11-01,pass,69,9924,11029
2023-01-01,halt,31,9948,9943
2023-03-01,halt,48,9934,10236
2023-05-01,pass,107,9911,11022
2023-07-01,halt,69,9895,10223
2023-09-01,halt,8,9580,9575
2023-11-01,halt,19,9710,9704
2024-01-01,halt,44,9789,9861
2024-03-01,halt,53,9721,9716
2024-05-01,halt,26,9809,9832
2024-07-01,halt,73,9990,10090
2024-09-01,halt,13,9625,9618
2024-11-01,pass,49,9807,11028
2025-01-01,pass,28,9848,11044
2025-03-01,halt,50,9922,10376
2025-05-01,pass,51,10000,11036
2025-07-01,pass,47,9980,11044
2025-09-01,halt,9,9701,9694
2025-11-01,pass,39,9790,11042
2026-01-01,halt,40,9985,10440
