start,p1,p1_days,p1_min_eq,p1_end,ml8_changes,ml8_mult_end
2022-01-01,pass,44,9947,11028,0,1.0
2022-03-01,halt,32,10000,10143,0,1.0
2022-05-01,halt,59,9805,10423,0,1.0
2022-07-01,pass,103,9655,11020,0,1.0
2022-09-01,pass,62,9950,11024,0,1.0
2022-11-01,pass,69,9924,11045,0,1.0
2023-01-01,halt,31,9947,9940,0,1.0
2023-03-01,pass,101,9945,11034,0,1.0
2023-05-01,pass,108,9912,11047,0,1.0
2023-07-01,halt,86,9909,10224,0,1.0
2023-09-01,halt,7,9585,9579,0,1.0
2023-11-01,halt,23,9646,9640,0,1.0
2024-01-01,halt,114,9872,10562,0,1.0
2024-03-01,halt,88,9805,9840,0,1.0
2024-05-01,halt,27,9747,9741,0,1.0
2024-07-01,halt,73,9991,10155,0,1.0
2024-09-01,halt,13,9636,9630,0,1.0
2024-11-01,pass,58,9720,11028,0,1.0
2025-01-01,pass,50,9891,11030,0,1.0
2025-03-01,halt,50,9883,10118,0,1.0
2025-05-01,pass,51,9989,11038,0,1.0
2025-07-01,pass,49,9986,11025,0,1.0
2025-09-01,halt,12,9680,9677,0,1.0
2025-11-01,pass,81,9825,11035,0,1.0
2026-01-01,halt,40,9963,10419,0,1.0
