start,p1,p1_days,p1_min_eq,p1_end,p2,p2_days,p2_min_eq,total_days,ml8_changes,ml8_mult_end
2022-01-01,pass,30,9945,11020,pass,90.0,9693.0,120.0,0,1.0
2022-03-01,pass,89,9919,11024,halt,47.0,9604.0,136.0,0,1.0
2022-05-01,halt,80,9777,10252,,,,,0,1.0
2022-07-01,pass,105,9755,11031,pass,26.0,9873.0,131.0,0,1.0
2022-09-01,pass,59,9946,11023,pass,13.0,9988.0,72.0,0,1.0
2022-11-01,pass,69,9931,11067,halt,25.0,9327.0,94.0,0,1.0
2023-01-01,halt,34,9784,9776,,,,,0,1.0
2023-03-01,pass,91,9937,11023,pass,211.0,9866.0,302.0,0,1.0
2023-05-01,pass,40,9909,11034,pass,260.0,9837.0,300.0,0,1.0
2023-07-01,pass,187,9799,11186,pass,52.0,9754.0,239.0,1,0.0
2023-09-01,pass,177,9597,11056,halt,93.0,9348.0,270.0,0,1.0
2023-11-01,pass,274,9702,11024,pass,111.0,9729.0,385.0,2,0.0
2024-01-01,pass,217,9762,11056,pass,117.0,9420.0,334.0,1,0.0
2024-03-01,halt,97,9447,9440,,,,,0,1.0
2024-05-01,pass,215,9408,11028,pass,29.0,9914.0,244.0,1,0.0
2024-07-01,halt,89,9991,10054,,,,,0,1.0
2024-09-01,pass,92,9537,11039,pass,29.0,9914.0,121.0,0,1.0
2024-11-01,pass,43,9850,11027,pass,15.0,9993.0,58.0,0,1.0
2025-01-01,pass,96,9912,11059,halt,18.0,9402.0,114.0,0,1.0
2025-03-01,halt,53,9790,9787,,,,,0,1.0
2025-05-01,pass,51,9966,11028,pass,42.0,9841.0,93.0,0,1.0
2025-07-01,pass,51,9950,11037,pass,51.0,9967.0,102.0,0,1.0
2025-09-01,pass,97,9466,11026,pass,56.0,9733.0,153.0,0,1.0
2025-11-01,pass,86,9764,11052,pass,31.0,9862.0,117.0,0,1.0
2026-01-01,pass,57,9959,11025,pass,52.0,9805.0,108.0,0,1.0
