start,p1,p1_days,p1_min_eq,p1_end,p2,p2_days,p2_min_eq,total_days,ml8_changes,ml8_mult_end
2022-01-01,pass,30,9950,11029,pass,90.0,9701.0,120.0,0,1.0
2022-03-01,pass,90,9725,11024,pass,103.0,9646.0,193.0,0,1.0
2022-05-01,pass,38,9793,11044,pass,106.0,9368.0,144.0,0,1.0
2022-07-01,pass,83,9720,11019,pass,33.0,9842.0,117.0,0,1.0
2022-09-01,pass,41,9946,11022,pass,27.0,9914.0,68.0,0,1.0
2022-11-01,pass,46,9923,11019,pass,159.0,9354.0,205.0,0,1.0
2023-01-01,pass,148,9540,11021,pass,73.0,9953.0,221.0,0,1.0
2023-03-01,pass,85,9926,11033,pass,84.0,9928.0,169.0,0,1.0
2023-05-01,pass,40,9891,11275,pass,150.0,9879.0,190.0,0,1.0
2023-07-01,pass,125,9832,11050,pass,111.0,9535.0,236.0,0,1.0
2023-09-01,pass,197,9308,11030,pass,120.0,9755.0,317.0,1,0.0
2023-11-01,pass,273,9502,11020,pass,115.0,9668.0,388.0,2,0.0
2024-01-01,pass,325,9459,11025,pass,11.0,10000.0,336.0,1,0.0
2024-03-01,pass,268,9665,11044,pass,22.0,9955.0,290.0,1,0.0
2024-05-01,pass,207,9320,11035,pass,22.0,9956.0,229.0,1,0.0
2024-07-01,pass,38,9989,11031,halt,35.0,9284.0,73.0,0,1.0
2024-09-01,pass,92,9489,11049,pass,24.0,9895.0,117.0,0,1.0
2024-11-01,pass,32,9789,11029,pass,24.0,9895.0,56.0,0,1.0
2025-01-01,pass,168,9499,11032,pass,17.0,9982.0,186.0,0,1.0
2025-03-01,halt,56,9228,9221,,,,,0,1.0
2025-05-01,pass,43,9844,11025,pass,26.0,9940.0,69.0,0,1.0
2025-07-01,pass,45,9953,11032,pass,11.0,9958.0,56.0,0,1.0
2025-09-01,pass,81,9556,11028,pass,17.0,9830.0,98.0,0,1.0
2025-11-01,pass,39,9691,11026,pass,48.0,9569.0,87.0,0,1.0
2026-01-01,pass,54,9942,11025,pass,33.0,9856.0,88.0,0,1.0
