start,p1,p1_days,p1_min_eq,p1_end,p2,p2_days,p2_min_eq,total_days
2022-01-01,pass,30,9948,11036,pass,114.0,9623.0,144.0
2022-03-01,pass,90,9888,11025,pass,106.0,9847.0,196.0
2022-05-01,pass,38,9698,11034,halt,42.0,9423.0,80.0
2022-07-01,pass,96,9762,11024,pass,27.0,9973.0,124.0
2022-09-01,pass,61,9947,11022,pass,14.0,9851.0,75.0
2022-11-01,pass,51,9951,11025,halt,46.0,9421.0,97.0
2023-01-01,pass,149,9663,11026,pass,78.0,9822.0,227.0
2023-03-01,pass,85,9923,11041,pass,50.0,9894.0,135.0
2023-05-01,pass,40,9903,11026,pass,68.0,9912.0,108.0
2023-07-01,pass,184,9915,11051,pass,55.0,9769.0,239.0
2023-09-01,halt,45,9434,9426,,,,
2023-11-01,pass,135,9481,11028,halt,83.0,9438.0,218.0
2024-01-01,pass,336,9493,11037,pass,26.0,9919.0,362.0
2024-03-01,halt,96,9439,9432,,,,
2024-05-01,halt,35,9438,9430,,,,
2024-07-01,pass,154,9598,11063,pass,26.0,9919.0,180.0
2024-09-01,halt,27,9434,9427,,,,
2024-11-01,pass,32,9745,11027,pass,26.0,9919.0,57.0
2025-01-01,pass,26,9813,11034,pass,65.0,9963.0,91.0
2025-03-01,pass,100,9917,11023,pass,17.0,9887.0,117.0
2025-05-01,pass,45,10000,11023,pass,12.0,9970.0,56.0
2025-07-01,pass,43,9979,11030,pass,10.0,9976.0,53.0
2025-09-01,pass,96,9530,11041,pass,50.0,9909.0,146.0
2025-11-01,pass,38,9737,11031,pass,54.0,9574.0,92.0
2026-01-01,pass,56,9976,11031,pass,131.0,9610.0,188.0
