start,p1,p1_days,p1_min_eq,p1_end,p2,p2_days,p2_min_eq,total_days,ml8_changes,ml8_mult_end
2022-01-01,pass,36,9958,10834,pass,113,9650,149,0,1.0
2022-03-01,pass,90,10000,10825,pass,83,9970,173,0,1.0
2022-05-01,pass,117,9779,10833,pass,38,9962,156,0,1.0
2022-07-01,pass,94,9693,10824,pass,35,9986,130,0,1.0
2022-09-01,pass,55,9943,10820,pass,56,9856,111,0,1.0
2022-11-01,pass,49,9937,10825,pass,155,9596,204,0,1.0
2023-01-01,pass,160,9655,10842,pass,198,9805,358,0,1.0
2023-03-01,pass,97,9950,10847,pass,72,9994,169,0,1.0
2023-05-01,pass,40,9914,10926,pass,131,9818,171,0,1.0
2023-07-01,pass,180,9878,10841,pass,331,9818,510,0,1.0
2023-09-01,pass,198,9648,10838,pass,260,9486,458,1,0.0
2023-11-01,pass,388,9676,10834,pass,46,9944,434,2,0.0
2024-01-01,pass,337,9755,10836,pass,47,9911,384,1,0.0
2024-03-01,pass,299,9453,10829,pass,24,9992,324,1,0.0
2024-05-01,pass,231,9450,10834,pass,26,9971,257,1,0.0
2024-07-01,pass,154,9874,10829,pass,42,9938,196,0,1.0
2024-09-01,pass,110,9670,10829,pass,29,10000,140,0,1.0
2024-11-01,pass,56,9857,10828,pass,29,9940,85,0,1.0
2025-01-01,pass,37,9870,10829,pass,161,9421,198,0,1.0
2025-03-01,pass,139,9739,10826,pass,31,9921,169,0,1.0
2025-05-01,pass,62,9975,10826,pass,42,9921,105,0,1.0
2025-07-01,pass,53,9972,10842,pass,99,9753,152,0,1.0
2025-09-01,pass,147,9489,10834,pass,64,9805,212,0,1.0
2025-11-01,pass,92,9742,10842,pass,60,9723,152,0,1.0
2026-01-01,pass,75,9971,10834,pass,116,9789,191,0,1.0
