start,p1,p1_days,p1_min_eq,p1_end,paid,paid_pct_yr,ml8_changes,ml8_mult_end
2022-01-01,timeout,365,9759,10132,3878,38.8,0,1.0
2022-03-01,timeout,365,9330,9489,3428,34.3,0,1.0
2022-05-01,timeout,365,9431,10017,2771,27.7,0,1.0
2022-07-01,timeout,365,9449,10133,3206,32.1,0,1.0
2022-09-01,timeout,365,9511,10028,3573,35.7,0,1.0
2022-11-01,timeout,365,9477,10001,2444,24.4,2,0.0
2023-01-01,timeout,365,9191,10527,959,9.6,2,0.0
2023-03-01,timeout,365,9672,10662,2237,22.4,2,0.0
2023-05-01,timeout,365,9540,10444,2170,21.7,1,0.0
2023-07-01,timeout,365,9732,10015,1635,16.4,1,0.0
2023-09-01,timeout,365,9636,10074,1333,13.3,1,0.0
2023-11-01,timeout,365,9643,10013,966,9.7,2,0.0
2024-01-01,timeout,365,9525,10482,1126,11.3,1,0.0
2024-03-01,timeout,365,9112,9949,598,6.0,2,0.0
2024-05-01,timeout,365,9431,10202,2485,24.9,1,0.0
2024-07-01,timeout,365,9655,10339,3873,38.7,1,0.0
2024-09-01,timeout,365,9618,10434,4357,43.6,2,0.5
2024-11-01,timeout,365,9585,10310,3704,37.0,3,1.0
2025-01-01,timeout,365,9605,9992,3495,34.9,3,1.0
2025-03-01,timeout,365,9602,10456,3247,32.5,3,1.0
2025-05-01,timeout,365,9914,10149,4429,44.3,4,0.5
2025-07-01,timeout,365,9850,9960,4467,44.7,3,0.0
2025-09-01,end,365,9427,10417,2552,25.5,2,0.0
2025-11-01,end,304,9774,10383,2597,31.2,1,0.0
2026-01-01,end,243,9825,10383,1912,28.7,1,0.0
