start,p1,p1_days,p1_min_eq,p1_end,ml8_changes,ml8_mult_end
2022-01-01,pass,20,9947,10522,0,1.0
2022-03-01,pass,20,10000,10523,0,1.0
2022-05-01,pass,38,9735,10678,0,1.0
2022-07-01,pass,83,9658,10538,0,1.0
2022-09-01,pass,34,9951,10532,0,1.0
2022-11-01,pass,14,9923,10535,0,1.0
2023-01-01,halt,38,9639,9632,0,1.0
2023-03-01,pass,30,9935,10528,0,1.0
2023-05-01,pass,30,9911,10523,0,1.0
2023-07-01,pass,51,9898,10537,0,1.0
2023-09-01,halt,6,9647,9639,0,1.0
2023-11-01,halt,25,9648,9643,0,1.0
2024-01-01,pass,76,9803,10528,0,1.0
2024-03-01,halt,89,9647,9640,0,1.0
2024-05-01,halt,27,9644,9637,0,1.0
2024-07-01,pass,61,9977,10539,0,1.0
2024-09-01,halt,13,9647,9641,0,1.0
2024-11-01,pass,29,9748,10534,0,1.0
2025-01-01,pass,18,9832,10525,0,1.0
2025-03-01,pass,32,9921,10537,0,1.0
2025-05-01,pass,29,10000,10530,0,1.0
2025-07-01,pass,17,9981,10547,0,1.0
2025-09-01,halt,12,9644,9641,0,1.0
2025-11-01,pass,32,9781,10531,0,1.0
2026-01-01,pass,24,9985,10532,0,1.0
